q_soc,q_vrc,r,mae,rmse,bias,nis_mean,nis_median,nis_exceed_3_84,nis_exceed_6_63,n_samples,score
1e-09,1e-07,1e-05,0.0020124903446063305,0.0027560636310870953,-0.0004577604884251392,0.6946835793929442,0.24677713439174628,0.009194442660501359,0.003200393894633186,93426,0.5887203989406492
1e-09,1e-07,3e-05,0.0031570505739776703,0.00409994085640968,-0.0007325989160196887,0.5374224248199299,0.20758198871048458,0.005501680474386145,0.0023333975552843962,93426,0.8776558986135157
1e-08,1e-07,1e-05,0.0009530885982733308,0.001908154595724762,-0.00022514396177592425,0.2868971280629174,0.048942736008121546,0.003082653651017918,0.0028792841393188193,93426,0.9083389424743866
1e-09,1e-06,1e-05,0.001208776086826321,0.0016123331697686784,-0.00047588358029714684,0.19425165093831662,0.07467145772914724,0.002654507310598763,0.001273735362746987,93426,0.9695826550565976
1e-08,1e-06,1e-05,0.000802127661914318,0.0013312848649369878,-0.00019938764947603728,0.12351145072062977,0.030737560748126506,0.002547470725493974,0.0022477682872005652,93426,1.0131385394230166
1e-09,3e-06,1e-05,0.0009851652483980565,0.0012950057965173897,-0.0005082964250851153,0.09987206093359915,0.04013753106812992,0.0005244792670134652,2.1407317020957764e-05,93426,1.0299121656686674
1e-07,1e-07,1e-05,0.0005237338822957664,0.0017573194288903202,-0.00014276028475561118,0.13606040645137474,0.01134800985180252,0.002889987797829298,0.002526063408473016,93426,1.0436425937450449
1e-08,3e-06,1e-05,0.0006781727496562225,0.0010040453481522504,-0.00019943468852783884,0.058073158754318906,0.017667093627803228,0.0018196219467814098,0.001284439021257466,93426,1.0445256260555542
1e-08,1e-05,1e-05,0.0005831027519293235,0.0008055470721534382,-0.00023912959315324552,0.024891268592073426,0.008271005882601646,2.1407317020957764e-05,0.0,93426,1.0556741422817808
1e-07,3e-05,1e-05,0.000424724778811511,0.0006567529438410071,-0.00014049758738744224,0.008429824896570234,0.002195307537974405,0.0,0.0,93426,1.0572454694875306
1e-07,1e-06,1e-05,0.0004778127112265285,0.0014941607944538233,-0.00013555658343572543,0.0936016552677964,0.008010135083900603,0.0026866182861301994,0.0024083231648577485,93426,1.0595660564855087
1e-07,1e-05,1e-05,0.0004304654178902701,0.0008072369087624001,-0.0001194892834041969,0.020623044114260643,0.004092632242813655,0.001284439021257466,0.0001177402436152677,93426,1.0608606065162234
1e-09,1e-05,1e-05,0.0008620243157138752,0.0011693369111853515,-0.0005429290681465762,0.0531388700649253,0.01755097383706792,0.0,0.0,93426,1.06379482105361
1e-08,3e-05,1e-05,0.0005756586484862072,0.0007775465710269334,-0.0003210137431029163,0.012671642806177314,0.004464296018467174,0.0,0.0,93426,1.065083014296516
1e-07,3e-06,1e-05,0.00045281590995075946,0.0011675726377195928,-0.0001252749914871096,0.053394412310493196,0.006224722675964654,0.002451137798899664,0.0020979170680538606,93426,1.0666863374289697
1e-07,3e-05,3e-05,0.0005048305729400556,0.0007719666942446421,-0.0001769055138386363,0.0073161612106328825,0.002007909174211216,0.0,0.0,93426,1.0698805082138314
5e-07,3e-05,1e-05,0.00035858493566028385,0.0008024854856589934,-0.00010180549372101781,0.008520790495543154,0.0012695407404852933,0.0,0.0,93426,1.0717277580703561
1e-08,1e-07,3e-05,0.00147222936050542,0.0023731298803348097,-0.00032567075584247164,0.16817845637029183,0.04268821555123632,0.002611692676556847,0.0022905829212424805,93426,1.07273096092271
1e-09,1e-06,3e-05,0.0019006762219376994,0.002497053581239188,-0.0007634984289453822,0.17788767958215249,0.07241620073328685,0.0020336951169909875,0.0009847365829640572,93426,1.073819262683226
5e-07,3e-05,3e-05,0.00040682886943718,0.0008884866308363063,-0.000122154425973088,0.0072401748976240726,0.0010976432492634247,0.0,0.0,93426,1.0816084881860066
1e-08,3e-05,3e-05,0.0007134685663367491,0.000948593721810052,-0.00040881291972399205,0.01162428760154936,0.00443786727863753,0.0,0.0,93426,1.0832350845794558
1e-07,1e-05,3e-05,0.0005534868436074304,0.0009975443678721433,-0.00016139995075921575,0.01684506093577438,0.0035437653133865675,0.0009633292659430993,0.0,93426,1.0833910404844114
1e-08,1e-05,3e-05,0.0007923282718551578,0.0010784213289795719,-0.0003375421914167803,0.02228078193532286,0.007870497195066967,0.0,0.0,93426,1.0855613509626343
1e-06,3e-05,1e-05,0.0003399150530975933,0.0009779348524159173,-9.836696728725436e-05,0.008662751060709708,0.0009277200792346947,4.281463404191553e-05,0.0,93426,1.089152141497903
1e-09,3e-05,1e-05,0.0008315618019778543,0.0011957092197067047,-0.0005941840356096733,0.03013979265284724,0.007281603394117455,0.0,0.0,93426,1.0894311293178232
1e-08,1e-06,3e-05,0.0012238434731284575,0.0018463566737781183,-0.00030121385043559775,0.09377602097650084,0.02786482017893416,0.0021835463361376917,0.001808918288270931,93426,1.0937603378576508
1e-08,3e-06,3e-05,0.0009961101217106905,0.0014249733850345394,-0.0003004559701243584,0.04977575234542771,0.016128830084789277,0.0015520304840194378,0.0008776999978592683,93426,1.0943753013978952
5e-07,1e-05,1e-05,0.0003576234041375097,0.0011467241282724038,-0.00010587264911025568,0.02120047212770638,0.001974645057190055,0.0017553999957185366,0.0010489585340269303,93426,1.0953985992314201
1e-06,3e-05,3e-05,0.00037449437457249087,0.0010403348639797122,-0.00011328301219514572,0.007354060477063505,0.0007973286172783946,0.0,0.0,93426,1.0966794259209076
1e-07,3e-05,0.0001,0.0006940136307103735,0.0010384846209101667,-0.00025597141931330074,0.006226542837631528,0.0017965408094805704,0.0,0.0,93426,1.0976219192533851
1e-09,3e-06,3e-05,0.0014900579561609977,0.001944618161482223,-0.0007822345239104087,0.09455949124088553,0.04007840375949516,0.00026759146276197205,0.0,93426,1.1000361206387177
5e-07,3e-05,0.0001,0.0005261512948202353,0.0010828867854858707,-0.00016648861103294463,0.005660222746684367,0.0009072789623144961,0.0,0.0,93426,1.1026284558019028
1e-07,3e-06,3e-05,0.000607147973500787,0.001377536299831419,-0.00016855654334252922,0.037039459397894284,0.005117639995615051,0.0021407317020957764,0.0016483634106137478,93426,1.1034328998469092
5e-07,1e-05,3e-05,0.0004212548295101515,0.0012446148239783406,-0.00012810003481210033,0.016458269748101727,0.0015547536007571435,0.0014771048744460858,0.0006957378031811273,93426,1.1094375028901367
