case,mse,threshold,anomaly
Normal_1000ohm_BD,0.0056120059452950954,0.004634368931874633,True
ISC_10ohm_CS,0.006553329527378082,0.004634368931874633,True
ISC_100ohm_CS,0.014662949368357658,0.004634368931874633,True
ISC_1000ohm_CS,0.016272801905870438,0.004634368931874633,True
