测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,5.80357,0.0,0.0,3.603361,,2832.0,0.0,2.62668,100.0,4.165029389946907
1.0,5.80171,0.00158,0.0601,3.615762,,2833.0,0.0,2.62668,100.0,4.190517289576608
2.0,5.80171,0.00332,0.1264,3.627232,,2834.0,0.0,2.62668,100.0,4.185160487402465
3.0,5.80357,0.0049,0.1865,3.635913,,2835.0,0.0,2.62668,100.0,4.179266642177456
4.0,5.79985,0.00664,0.2528,3.643353,,2836.0,0.0,2.62668,100.0,4.17809795251613
5.0,5.80357,0.00822,0.3129,3.650484,,2837.0,0.0,2.62668,100.0,4.156386373398593
6.0,5.80357,0.00998,0.3798,3.656994,,2838.0,0.0,2.62668,100.0,4.18967929576912
7.0,5.79985,0.01154,0.4394,3.662884,,2839.0,0.0,2.62668,100.0,4.163984157268219
8.0,5.80171,0.0133,0.5062,3.668775,,2840.0,0.0,2.62668,100.0,4.176235698231823
9.0,5.80171,0.01486,0.5657,3.673735,,2841.0,0.0,2.62668,100.0,4.1662283992766875
10.0,5.80357,0.01663,0.6333,3.678695,,2842.0,0.0,2.62668,100.0,4.191967775637978
11.0,5.80357,0.0182,0.6928,3.683346,,2843.0,0.0,2.62668,100.0,4.180905881483958
12.0,5.79985,0.01994,0.7591,3.687686,,2844.0,0.0,2.62668,100.0,4.1815143401150445
13.0,5.80171,0.02152,0.8192,3.692026,,2845.0,0.0,2.62668,100.0,4.180914768481158
14.0,5.80357,0.02326,0.8855,3.695746,,2846.0,0.0,2.62668,100.0,4.169190529821086
15.0,5.80171,0.02485,0.9462,3.699467,,2847.0,0.0,2.62668,100.0,4.15823335084119
17.0,5.80543,0.0266,1.0125,3.702877,,2848.0,0.0,2.62668,100.0,4.183313858120553
18.0,5.80171,0.02816,1.072,3.705977,,2849.0,0.0,2.62668,100.0,4.161189444918051
19.0,5.80357,0.02992,1.1389,3.708767,,2849.0,0.0,2.62668,100.0,4.155091262465657
20.0,5.80543,0.03148,1.1984,3.712178,,,,,,
21.0,5.80357,0.03324,1.2653,3.714658,,2849.0,-0.6715,0.0,0.0,4.156691546693602
22.0,5.80357,0.0348,1.3248,3.717138,,2850.0,-0.67336,0.00018,1.8753,4.123715878509576
23.0,5.80357,0.03654,1.3911,3.719308,,2851.0,-0.66964,0.00038,3.9099,4.15565557000134
24.0,5.80171,0.03814,1.4519,3.721478,,2852.0,-0.6715,0.00058,5.9445,4.136805419384401
25.0,5.80171,0.03988,1.5181,3.723648,,2853.0,-0.67336,0.00078,7.9845,4.145186430332569
26.0,5.80171,0.04146,1.5783,3.725508,,2854.0,-0.67336,0.00097,10.0191,4.149301938425152
27.0,5.79985,0.0432,1.6445,3.727369,,2855.0,-0.67336,0.00117,12.0538,4.158338763679181
28.0,5.79985,0.04476,1.704,3.729229,,2856.0,-0.6715,0.00137,14.0937,4.153596733334821
29.0,5.80171,0.04652,1.7709,3.731089,,2857.0,-0.6715,0.00157,16.1283,4.133608379356568
30.0,5.80357,0.04808,1.8304,3.732639,,2858.0,-0.67336,0.00177,18.163,4.130604732047118
31.0,5.80543,0.0498,1.8961,3.733879,,2859.0,-0.67336,0.00196,20.1764,4.155118728348207
32.0,5.80357,0.05142,1.9575,3.735429,,2860.0,-0.6715,0.00214,21.9666,4.13228872724209
33.0,5.80171,0.05298,2.017,3.736669,,2861.0,-0.6715,0.00233,24.0013,4.138876180958528
34.0,5.79985,0.05474,2.0839,3.737909,,2862.0,-0.6715,0.00253,26.0359,4.157036486465508
35.0,5.80357,0.05632,2.144,3.739149,,2863.0,-0.67336,0.00273,28.0759,4.150673606244372
36.0,5.80171,0.05806,2.2103,3.740079,,2865.0,-0.6715,0.00293,30.1105,4.126788711513875
37.0,5.80357,0.05964,2.2704,3.741009,,2866.0,-0.67522,0.00313,32.1398,4.135055640039378
38.0,5.80171,0.06139,2.3373,3.742249,,2867.0,-0.6715,0.00332,34.1798,4.136476138163535
39.0,5.80171,0.06296,2.3968,3.74318,,2868.0,-0.67336,0.00352,36.2144,4.1355565003614645
40.0,5.80357,0.0647,2.4631,3.74411,,2869.0,-0.67522,0.00372,38.249,4.129521931233301
41.0,5.79985,0.06628,2.5232,3.74504,,2870.0,-0.67336,0.00392,40.289,4.142384711816574
42.0,5.80171,0.06802,2.5895,3.74597,,2871.0,-0.6715,0.00412,42.3236,4.121997248234572
43.0,5.80171,0.06961,2.6502,3.7469,,2872.0,-0.6715,0.00431,44.3636,4.125462402486498
44.0,5.80357,0.07135,2.7165,3.74752,,2873.0,-0.67522,0.00451,46.3982,4.130274923835006
45.0,5.80543,0.07292,2.776,3.74845,,2874.0,-0.6715,0.00471,48.4382,4.126385357540716
46.0,5.80357,0.07467,2.8429,3.74907,,2875.0,-0.67522,0.00491,50.4728,4.149496955939373
47.0,5.80357,0.07624,2.9024,3.75,,2876.0,-0.67336,0.00511,52.5127,4.122333771089496
48.0,5.80171,0.07801,2.9699,3.75062,,2877.0,-0.67336,0.00523,53.7771,4.127832117352675
49.0,5.80171,0.07957,3.0294,3.75186,,2877.0,-1.34859,0.00523,53.7771,4.1097472076118
50.0,5.80171,0.08131,3.0957,3.75248,,2878.0,-1.34673,0.00562,57.7454,4.106600864971701
51.0,5.80171,0.08289,3.1559,3.7531,,2879.0,-1.34673,0.00601,61.751,4.115290444902457
53.0,5.80357,0.08463,3.2221,3.75403,,2880.0,-1.35045,0.0064,65.8309,4.110053296236645
54.0,5.80357,0.08623,3.2829,3.75465,,2881.0,-1.34859,0.0068,69.9161,4.111785606269047
55.0,5.79985,0.08797,3.3491,3.75527,,2882.0,-1.34673,0.0072,73.996,4.104840341791575
56.0,5.80171,0.08953,3.4086,3.75589,,2883.0,-1.34673,0.00759,78.0812,4.095303233934173
57.0,5.80357,0.09129,3.4755,3.75682,,2884.0,-1.34673,0.00799,82.1611,4.100649227865885
58.0,5.80171,0.09287,3.5357,3.757441,,2885.0,-1.34859,0.00839,86.2463,4.106459335285651
59.0,5.80171,0.09463,3.6025,3.757751,,2886.0,-1.34487,0.00878,90.289,4.094345944614044
60.0,5.80357,0.09619,3.6621,3.758371,,2887.0,-1.34859,0.00913,93.8748,4.105627359913831
61.0,5.80357,0.09783,3.7246,3.759301,,2888.0,-1.35045,0.00953,97.9601,4.103679004023595
62.0,5.80171,0.09964,3.7934,3.759921,,2889.0,-1.34673,0.00973,100.0,4.099014635729583
63.0,5.80357,0.1012,3.8529,3.760541,,2889.0,-1.34673,0.00973,100.0,4.0997095568499295
64.0,5.80357,0.10296,3.9198,3.761161,,,,,,
65.0,5.80357,0.10452,3.9793,3.761781,,2889.0,0.67708,0.0,0.0,4.155357119291867
66.0,5.79985,0.1063,4.0468,3.762401,,2890.0,0.67894,0.0002,13.1306,4.178627025804829
67.0,5.79985,0.10786,4.1063,3.763021,,2891.0,0.67894,0.00037,24.8445,4.158548196166718
68.0,5.80357,0.1096,4.1726,3.763641,,2892.0,0.67894,0.00057,38.217,4.170172996271683
69.0,5.80543,0.11118,4.2327,3.764261,,2893.0,0.67894,0.00077,51.5895,4.178404997585254
70.0,5.80171,0.11292,4.2989,3.764261,,2894.0,0.67894,0.00097,64.9274,4.170821892552339
71.0,5.80543,0.11453,4.3603,3.763951,,2895.0,0.67894,0.00117,78.2999,4.163544204964066
72.0,5.80171,0.11609,4.4198,3.767671,,2896.0,0.67894,0.00137,91.6724,4.167555956944354
73.0,5.79985,0.11784,4.4861,3.771081,,2897.0,0.67894,0.0015,100.0,4.187290141991337
74.0,5.80171,0.11942,4.5462,3.775732,,2897.0,0.0,0.0015,100.0,4.154776743229188
75.0,5.80357,0.12116,4.6125,3.775422,,2898.0,0.0,0.0015,100.0,4.151802043772067
76.0,5.79985,0.12275,4.6733,3.774801,,2899.0,0.0,0.0015,100.0,4.1479693691447626
77.0,5.80357,0.12449,4.7395,3.774182,,2900.0,0.0,0.0015,100.0,4.146386733473357
78.0,5.80357,0.12606,4.799,3.774492,,2901.0,0.0,0.0015,100.0,4.159209745621709
79.0,5.80543,0.12781,4.8659,3.774801,,2902.0,0.0,0.0015,100.0,4.159797294490921
80.0,5.80543,0.12938,4.9255,3.775732,,2903.0,0.0,0.0015,100.0,4.160190501786298
81.0,5.80729,0.13113,4.9923,3.774492,,2904.0,0.0,0.0015,100.0,4.1579490125380545
82.0,5.80171,0.13271,5.0525,3.774182,,2905.0,0.0,0.0015,100.0,4.1682239051455765
83.0,5.80171,0.13447,5.1194,3.773252,,2906.0,0.0,0.0015,100.0,4.1447208582850275
84.0,5.80171,0.13603,5.1789,3.773252,,2907.0,0.0,0.0015,100.0,4.153266410064451
85.0,5.80171,0.13777,5.2452,3.773252,,2908.0,0.0,0.0015,100.0,4.152540184755464
87.0,5.80171,0.13935,5.3053,3.774801,,2909.0,0.0,0.0015,100.0,4.149824629261157
88.0,5.80357,0.14109,5.3716,3.775732,,2910.0,0.0,0.0015,100.0,4.136629796683876
