测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,4.63356,0.0,0.0,3.630952,,4261.0,0.0,3.09853,100.0,4.187726822025966
1.0,4.63356,0.00127,0.0411,3.639633,,4262.0,0.0,3.09853,100.0,4.305573749378755
2.0,4.63542,0.00264,0.0852,3.646763,,4263.0,0.0,3.09853,100.0,4.13075427694857
3.0,4.63356,0.00386,0.1246,3.652034,,4264.0,0.0,3.09853,100.0,4.135631525679377
4.0,4.63356,0.00524,0.1691,3.656064,,4265.0,0.0,3.09853,100.0,4.220298543533517
5.0,4.63356,0.00647,0.209,3.659784,,4266.0,0.0,3.09853,100.0,4.243824035466195
6.0,4.63542,0.00784,0.253,3.662884,,4267.0,0.0,3.09853,100.0,4.187600504512593
7.0,4.63356,0.00906,0.2925,3.666295,,4268.0,0.0,3.09853,100.0,4.218574082865799
8.0,4.6317,0.01041,0.3361,3.669085,,4269.0,0.0,3.09853,100.0,4.181031996315833
9.0,4.63542,0.01166,0.3764,3.671565,,4270.0,0.0,3.09853,100.0,4.135441771594616
10.0,4.63356,0.01301,0.42,3.673735,,4271.0,0.0,3.09853,100.0,4.134550653482682
11.0,4.63356,0.01426,0.4603,3.675905,,4272.0,0.0,3.09853,100.0,4.13936737745939
12.0,4.63542,0.01565,0.5052,3.677765,,4273.0,0.0,3.09853,100.0,4.203359292451329
13.0,4.6317,0.01688,0.5446,3.679935,,4274.0,0.0,3.09853,100.0,4.221866211915516
14.0,4.63356,0.01825,0.5891,3.681796,,4275.0,0.0,3.09853,100.0,4.231271634918342
15.0,4.63356,0.01948,0.6285,3.683346,,4276.0,0.0,3.09853,100.0,4.12753972381223
16.0,4.63356,0.02083,0.6721,3.684896,,4278.0,0.0,3.09853,100.0,4.1723848598683215
17.0,4.6317,0.02206,0.712,3.687066,,4278.0,0.0,3.09853,100.0,4.155002716517603
18.0,4.63356,0.02341,0.7556,3.688306,,4278.0,0.0,3.09853,100.0,4.126676647128983
19.0,4.63356,0.02479,0.8001,3.689856,,,,,,
20.0,4.63356,0.026,0.8391,3.691096,,4278.0,-0.67336,0.0,0.0,4.19155281258752
21.0,4.63356,0.02738,0.8836,3.692336,,4279.0,-0.67522,0.0002,2.0497,4.1657260978250985
22.0,4.63542,0.02872,0.9268,3.693887,,4280.0,-0.67336,0.00039,3.9831,4.10783472773244
23.0,4.63542,0.02994,0.9663,3.694816,,4281.0,-0.67522,0.00058,5.9377,4.128214280814101
24.0,4.63356,0.0313,1.0103,3.696057,,4282.0,-0.67522,0.00077,7.8922,4.086110006834283
25.0,4.63356,0.03266,1.0539,3.697297,,4283.0,-0.67522,0.00095,9.7147,4.103278180535477
26.0,4.6317,0.03389,1.0938,3.698227,,4284.0,-0.67522,0.00115,11.7116,4.193672275275633
27.0,4.63542,0.03524,1.1374,3.699467,,4285.0,-0.67522,0.00134,13.6873,4.151127581322237
28.0,4.63356,0.03648,1.1773,3.700397,,4286.0,-0.67522,0.00153,15.6418,4.183959169398324
29.0,4.63356,0.03786,1.2217,3.701017,,4287.0,-0.67522,0.00172,17.6175,4.092216920535827
30.0,4.63728,0.03909,1.2616,3.701947,,4289.0,-0.67522,0.00193,19.7623,4.119687620504433
31.0,4.6317,0.04046,1.3057,3.702877,,4290.0,-0.67522,0.00212,21.701,4.0996906797331265
32.0,4.63356,0.04179,1.3489,3.703807,,4291.0,-0.67522,0.00231,23.6556,4.17476811002994
