测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,5.50781,0.0,0.0,3.683346,,2906.0,0.0,2.5134,100.0,4.179527613708534
1.0,5.50595,0.00158,0.0627,3.693576,,2907.0,0.0,2.5134,100.0,4.214224051211668
2.0,5.50781,0.0032,0.1273,3.701947,,2908.0,0.0,2.5134,100.0,4.235446380039288
3.0,5.50967,0.00482,0.1918,3.708147,,2909.0,0.0,2.5134,100.0,4.152941885270259
4.0,5.50781,0.00644,0.2563,3.713108,,2910.0,0.0,2.5134,100.0,4.261507073128118
5.0,5.50967,0.00806,0.3208,3.717448,,2911.0,0.0,2.5134,100.0,4.208786828540873
6.0,5.50967,0.00969,0.3854,3.720858,,2912.0,0.0,2.5134,100.0,4.298984926569562
7.0,5.50967,0.01131,0.4499,3.724268,,2913.0,0.0,2.5134,100.0,4.163722265074347
8.0,5.50967,0.01293,0.5144,3.727679,,2914.0,0.0,2.5134,100.0,4.192534171012965
10.0,5.50967,0.01454,0.5784,3.730469,,2915.0,0.0,2.5134,100.0,4.185465835840809
11.0,5.50781,0.01596,0.635,3.732639,,2916.0,0.0,2.5134,100.0,4.151666712932279
12.0,5.50967,0.01758,0.6995,3.735119,,2917.0,0.0,2.5134,100.0,4.229714072711463
13.0,5.50781,0.0192,0.7641,3.737289,,2918.0,0.0,2.5134,100.0,4.235911674835195
14.0,5.50595,0.02083,0.8286,3.739459,,2919.0,0.0,2.5134,100.0,4.187159102773065
15.0,5.50781,0.02245,0.8931,3.741009,,2920.0,0.0,2.5134,100.0,4.140596150340824
16.0,5.50781,0.02413,0.9601,3.74287,,2921.0,0.0,2.5134,100.0,4.0883819722313
17.0,5.50781,0.02575,1.0246,3.74442,,2922.0,0.0,2.5134,100.0,4.295425196102856
18.0,5.50781,0.02737,1.0892,3.74628,,2923.0,0.0,2.5134,100.0,4.115979533340085
19.0,5.50781,0.02898,1.1531,3.74814,,2923.0,0.0,2.5134,100.0,4.1626015871228805
20.0,5.50967,0.0306,1.2176,3.74938,,,,,,
21.0,5.50781,0.03223,1.2821,3.75093,,2923.0,-0.67336,0.0,0.0,4.119993699009509
22.0,5.50781,0.03385,1.3467,3.75217,,2924.0,-0.67522,0.00018,1.8802,4.072432954376775
23.0,5.50967,0.03545,1.4106,3.7531,,2925.0,-0.67522,0.00038,3.9352,4.140119247227167
24.0,5.50967,0.03688,1.4672,3.75434,,2926.0,-0.67522,0.00058,5.9531,4.044156474558221
25.0,5.50967,0.0385,1.5317,3.75558,,2927.0,-0.67522,0.00076,7.7432,4.046870539213199
26.0,5.50781,0.04012,1.5963,3.75651,,2928.0,-0.67522,0.00098,10.0683,4.118881881940943
27.0,5.50967,0.04173,1.6602,3.757751,,2929.0,-0.67522,0.00117,11.9538,4.204131900994492
28.0,5.50967,0.04315,1.7168,3.758681,,2930.0,-0.67522,0.00137,13.9929,4.0740262787192005
29.0,5.50967,0.04477,1.7814,3.759611,,2931.0,-0.67522,0.00156,16.0108,4.217056300546556
30.0,5.50781,0.04633,1.8434,3.760541,,2932.0,-0.67522,0.00174,17.801,4.138266662928341
31.0,5.50967,0.04799,1.9092,3.761471,,2933.0,-0.67522,0.00194,19.8348,4.17959597246152
32.0,5.50967,0.04961,1.9737,3.762401,,2934.0,-0.67522,0.00213,21.8738,4.140736439932279
33.0,5.50781,0.05123,2.0382,3.763021,,2935.0,-0.67522,0.00233,23.8917,4.172803856052525
35.0,5.50781,0.05285,2.1028,3.763951,,2936.0,-0.67522,0.00253,25.9308,4.197353945344393
36.0,5.50595,0.05446,2.1667,3.764571,,2937.0,-0.67522,0.00273,27.9699,4.107711238064465
37.0,5.50781,0.05588,2.2233,3.765501,,2938.0,-0.67522,0.00293,30.009,4.118642515567057
38.0,5.50781,0.0575,2.2879,3.766431,,2939.0,-0.67522,0.00313,32.0428,4.177538831128241
39.0,5.50967,0.05912,2.3524,3.767051,,2940.0,-0.67522,0.00332,34.0819,4.152779877170848
40.0,5.50781,0.06075,2.4169,3.767981,,2941.0,-0.67522,0.00352,36.0998,4.09159855988865
41.0,5.50967,0.06237,2.4814,3.768911,,2942.0,-0.67522,0.0037,37.8899,4.198103965682119
42.0,5.50781,0.06399,2.546,3.769841,,2943.0,-0.67522,0.0039,39.929,4.146007295267739
43.0,5.50967,0.06561,2.6105,3.770461,,2944.0,-0.67522,0.00409,41.9628,4.1489779259127735
44.0,5.50967,0.06723,2.675,3.771081,,2946.0,-0.67522,0.00429,44.0019,4.042806110787078
45.0,5.51153,0.06884,2.739,3.771701,,2947.0,-0.67522,0.00449,46.041,4.186777875902271
46.0,5.51153,0.07026,2.7956,3.772631,,2948.0,-0.67522,0.00469,48.0589,4.080157301345873
47.0,5.50781,0.07192,2.8613,3.773252,,2949.0,-0.67522,0.00486,49.8491,4.227315429249055
48.0,5.51153,0.07354,2.9258,3.773871,,2950.0,-0.67522,0.00506,51.8881,4.186829982703664
49.0,5.50781,0.07516,2.9904,3.774492,,2951.0,-0.67522,0.00526,53.9219,4.097950822340681
50.0,5.50595,0.07678,3.0549,3.775112,,2951.0,-1.34301,0.00526,53.9219,4.0776540097936325
51.0,5.50781,0.0784,3.1194,3.776042,,2952.0,-1.35231,0.00562,57.5711,4.1456577342393786
52.0,5.50781,0.08001,3.1834,3.776662,,2953.0,-1.35045,0.00601,61.6175,4.129991249184188
