测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,4.63728,0.0,0.0,3.622892,,3317.0,0.0,2.65999,100.0,4.267631329338332
1.0,4.63728,0.00126,0.0474,3.630642,,3318.0,0.0,2.65999,100.0,4.17488396330389
2.0,4.63728,0.00258,0.0968,3.637463,,3319.0,0.0,2.65999,100.0,4.250749942967984
3.0,4.63914,0.0039,0.1467,3.642733,,3320.0,0.0,2.65999,100.0,4.199978396181015
4.0,4.63914,0.0052,0.1956,3.647074,,3321.0,0.0,2.65999,100.0,4.20937882034081
5.0,4.63728,0.00656,0.2465,3.650794,,3322.0,0.0,2.65999,100.0,4.1197277251442825
6.0,4.63914,0.0079,0.2969,3.653894,,3323.0,0.0,2.65999,100.0,4.204279695948541
7.0,4.63728,0.00922,0.3467,3.657304,,3324.0,0.0,2.65999,100.0,4.1908418124828195
8.0,4.64286,0.01054,0.3962,3.660404,,3325.0,0.0,2.65999,100.0,4.148474481855473
9.0,4.63728,0.0119,0.4475,3.662884,,3326.0,0.0,2.65999,100.0,4.148878855139882
10.0,4.63728,0.0132,0.4964,3.665365,,3327.0,0.0,2.65999,100.0,4.17601943631379
11.0,4.63728,0.01456,0.5473,3.667535,,3328.0,0.0,2.65999,100.0,4.089551347340827
12.0,4.63728,0.01588,0.5971,3.669705,,3329.0,0.0,2.65999,100.0,4.201384254448767
13.0,4.63914,0.01721,0.647,3.671875,,3330.0,0.0,2.65999,100.0,4.066860955794068
14.0,4.63914,0.01854,0.6969,3.673735,,3331.0,0.0,2.65999,100.0,4.1347777081378565
15.0,4.63914,0.01986,0.7468,3.675595,,3332.0,0.0,2.65999,100.0,4.228013626377808
16.0,4.63914,0.02119,0.7967,3.677455,,3333.0,0.0,2.65999,100.0,4.094163026623332
17.0,4.63914,0.02253,0.847,3.679005,,3334.0,0.0,2.65999,100.0,4.169531959758949
19.0,4.63728,0.02386,0.8969,3.680556,,3334.0,0.0,2.65999,100.0,4.121616292675792
20.0,4.63542,0.02517,0.9463,3.682106,,,,,,
21.0,4.63728,0.0265,0.9962,3.683966,,3334.0,-0.67522,0.0,0.0,4.1506249800756745
22.0,4.63542,0.0279,1.049,3.685516,,3335.0,-0.67708,0.00019,1.9221,4.156028954319983
23.0,4.63542,0.02923,1.0989,3.686756,,3336.0,-0.67708,0.00038,3.8494,4.122322624047833
24.0,4.63728,0.03056,1.1488,3.687686,,3337.0,-0.67708,0.00057,5.8191,4.1577817906354975
25.0,4.63914,0.03187,1.1982,3.688926,,3338.0,-0.67708,0.00074,7.63,4.174730679856572
26.0,4.63728,0.03322,1.249,3.690166,,3339.0,-0.67708,0.00094,9.5944,4.172864235187591
27.0,4.63914,0.03456,1.2994,3.691096,,3340.0,-0.67708,0.00113,11.58,4.071227368664929
28.0,4.63542,0.03588,1.3488,3.692026,,3341.0,-0.67708,0.00132,13.5444,4.1194412675445164
29.0,4.63914,0.03718,1.3977,3.692956,,3342.0,-0.67708,0.00151,15.493,4.164037771824782
30.0,4.63728,0.03843,1.4447,3.694196,,3343.0,-0.67708,0.00171,17.4786,4.156378484614876
31.0,4.63728,0.03985,1.4979,3.695127,,3344.0,-0.67708,0.00189,19.3847,4.095496620499651
32.0,4.63728,0.04117,1.5478,3.696057,,3345.0,-0.67708,0.0021,21.5451,4.1497443940473655
33.0,4.63728,0.04249,1.5972,3.696676,,3346.0,-0.67708,0.0023,23.5889,4.091988375558602
34.0,4.63914,0.0438,1.6466,3.697607,,3347.0,-0.67708,0.0025,25.5745,4.142289791325412
35.0,4.641,0.04513,1.6965,3.698537,,3348.0,-0.67708,0.00269,27.5389,4.184623443933525
36.0,4.63914,0.04644,1.7459,3.699157,,3349.0,-0.67708,0.00288,29.5033,4.112359450026754
37.0,4.641,0.04776,1.7953,3.700087,,3350.0,-0.67708,0.00306,31.3566,4.100789288840176
38.0,4.63728,0.0491,1.8457,3.700707,,3351.0,-0.67708,0.00325,33.2998,4.211059921392695
39.0,4.63728,0.05044,1.8961,3.701327,,3352.0,-0.67708,0.00344,35.2854,4.0611887055043825
40.0,4.63728,0.05179,1.9469,3.701947,,3353.0,-0.67708,0.00364,37.3081,4.115462114850438
41.0,4.63728,0.05311,1.9968,3.702877,,3354.0,-0.67708,0.00384,39.3519,4.10211905830565
