测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,2.31957,0.0,0.0,3.448661,,4567.0,0.0,2.55531,100.0,4.178692331913019
1.0,2.31585,0.0006,0.0234,3.450831,,4568.0,0.0,2.55531,100.0,4.219282871096128
2.0,2.31585,0.00129,0.0506,3.455481,,4569.0,0.0,2.55531,100.0,4.163829440541476
3.0,2.31585,0.00197,0.0773,3.459821,,4570.0,0.0,2.55531,100.0,4.19326549487444
4.0,2.31585,0.00266,0.104,3.463232,,4571.0,0.0,2.55531,100.0,4.110121694152799
5.0,2.31585,0.00334,0.1307,3.466022,,4572.0,0.0,2.55531,100.0,4.097819246782625
6.0,2.31771,0.00402,0.1574,3.468812,,4573.0,0.0,2.55531,100.0,4.1284766615611925
7.0,2.31585,0.0047,0.184,3.471602,,4574.0,0.0,2.55531,100.0,4.247446894229925
8.0,2.31771,0.00537,0.21,3.474082,,4575.0,0.0,2.55531,100.0,4.136380761140085
9.0,2.31399,0.00599,0.2344,3.476563,,4577.0,0.0,2.55531,100.0,4.1985806082643835
10.0,2.31771,0.00663,0.2596,3.479043,,4578.0,0.0,2.55531,100.0,4.099248617414526
11.0,2.31585,0.00731,0.286,3.481523,,4579.0,0.0,2.55531,100.0,4.162491638505261
12.0,2.31585,0.00802,0.3139,3.483383,,4580.0,0.0,2.55531,100.0,4.166019791222928
13.0,2.31585,0.00863,0.3379,3.485243,,4581.0,0.0,2.55531,100.0,4.155675058772277
15.0,2.31585,0.00931,0.3643,3.487413,,4582.0,0.0,2.55531,100.0,4.191609802299494
16.0,2.31585,0.00999,0.391,3.489583,,4583.0,0.0,2.55531,100.0,4.1517425836731645
17.0,2.31585,0.01067,0.4177,3.491754,,4584.0,0.0,2.55531,100.0,4.13967801904214
18.0,2.31771,0.01135,0.4444,3.494234,,4584.0,0.0,2.55531,100.0,4.204776791101517
19.0,2.31771,0.01201,0.47,3.495784,,4584.0,0.0,2.55531,100.0,4.193492390652051
20.0,2.31399,0.01269,0.4965,3.497644,,,,,,
21.0,2.31771,0.01334,0.5222,3.499504,,4584.0,-0.67336,0.0,0.0,4.150562787949467
22.0,2.31585,0.01402,0.5486,3.501984,,4585.0,-0.67522,0.00019,1.9751,4.1408950750151154
23.0,2.31585,0.0147,0.5753,3.503534,,4586.0,-0.67708,0.00039,3.9924,4.145815579148298
24.0,2.31771,0.01541,0.603,3.505394,,4587.0,-0.67708,0.0006,6.1312,4.080816339932003
25.0,2.31585,0.01608,0.6292,3.507254,,4589.0,-0.67708,0.00085,8.6449,4.187386489145564
26.0,2.31585,0.01676,0.6559,3.509115,,4590.0,-0.67708,0.00102,10.4351,4.181702376904009
27.0,2.31585,0.01738,0.68,3.510355,,4591.0,-0.67894,0.00122,12.4894,4.160850645657436
28.0,2.31585,0.0181,0.7085,3.512525,,4592.0,-0.6808,0.0014,14.2902,4.073404145032752
29.0,2.31585,0.01879,0.7352,3.514075,,4593.0,-0.67708,0.00159,16.297,4.081681594596575
30.0,2.31585,0.01947,0.7619,3.515315,,4594.0,-0.68266,0.00182,18.5889,4.1955025994476385
31.0,2.31585,0.02018,0.7896,3.516865,,4595.0,-0.67708,0.00201,20.5165,4.126467893517126
32.0,2.31585,0.02085,0.816,3.518415,,4596.0,-0.67894,0.0022,22.4599,4.1108134519566075
33.0,2.31771,0.02153,0.8424,3.519655,,4597.0,-0.6715,0.00238,24.324,4.092184496183588
35.0,2.31585,0.02221,0.8691,3.521515,,4598.0,-0.67894,0.00259,26.4364,4.1010160993759985
36.0,2.31585,0.02288,0.8956,3.522755,,4599.0,-0.6808,0.00276,28.2267,4.141604126915014
37.0,2.31585,0.02357,0.9222,3.523996,,4600.0,-0.67336,0.00296,30.2493,4.087327908473422
38.0,2.31585,0.02425,0.9489,3.525546,,4601.0,-0.68824,0.00315,32.2455,4.148199492728372
39.0,2.31585,0.02493,0.9756,3.526786,,4602.0,-0.67708,0.00337,34.4212,4.255343297446844
40.0,2.31585,0.02561,1.0021,3.528026,,4603.0,-0.67708,0.00355,36.2537,4.061802718436607
41.0,2.31585,0.02627,1.0282,3.528956,,4604.0,-0.67708,0.00375,38.2921,4.051313374440593
42.0,2.31585,0.02687,1.0517,3.530196,,4605.0,-0.67708,0.00395,40.3306,4.192283168914776
43.0,2.31585,0.02756,1.0783,3.531126,,4606.0,-0.67708,0.00414,42.3479,4.1214690014272275
44.0,2.31585,0.02823,1.1048,3.532056,,4607.0,-0.67522,0.00434,44.3864,4.253488521380457
45.0,2.31585,0.02891,1.1315,3.533296,,4608.0,-0.67522,0.00454,46.4142,4.093821586258188
46.0,2.31399,0.0296,1.1582,3.534226,,4609.0,-0.67522,0.00474,48.4527,4.11212281893253
47.0,2.31585,0.03028,1.1849,3.535156,,4610.0,-0.6808,0.00492,50.3063,4.208821918098317
48.0,2.31771,0.03095,1.2113,3.535776,,4611.0,-0.67708,0.00512,52.35,4.110282061009317
49.0,2.31585,0.03155,1.2347,3.536706,,4612.0,-0.6808,0.00527,53.8709,4.096823388339621
50.0,2.31399,0.03226,1.2624,3.537326,,4612.0,-1.35045,0.00527,53.8709,3.984906632915781
51.0,2.31585,0.03291,1.2881,3.538256,,4613.0,-1.35417,0.00562,57.4778,4.138216736085833
52.0,2.31585,0.0336,1.3148,3.539186,,4614.0,-1.35417,0.00604,61.7448,4.158791350105805
53.0,2.31585,0.03427,1.3412,3.539496,,4615.0,-1.35231,0.00641,65.5154,4.022276070701427
54.0,2.31585,0.03487,1.3646,3.540426,,4616.0,-1.35417,0.00682,69.7032,4.125478864295427
55.0,2.31585,0.03555,1.3913,3.541047,,4617.0,-1.35417,0.00717,73.2784,4.047600441264047
56.0,2.31585,0.03625,1.4188,3.541977,,4618.0,-1.35417,0.00757,77.3553,4.12790221091847
57.0,2.31585,0.03686,1.4424,3.542907,,4619.0,-1.35231,0.00796,81.316,4.119957968394007
58.0,2.31585,0.03751,1.4679,3.543527,,4620.0,-1.35603,0.00836,85.4668,4.062285639085875
59.0,2.31399,0.03817,1.4938,3.544147,,4621.0,-1.35417,0.00876,89.5437,4.094882224488033
60.0,2.31585,0.03887,1.521,3.544457,,4623.0,-1.35417,0.00916,93.6153,4.174314905577849
61.0,2.31585,0.03946,1.5444,3.545077,,4624.0,-1.35417,0.00954,97.5021,4.1376348053798555
62.0,2.31585,0.04015,1.5711,3.545697,,4624.0,-1.35417,0.00978,100.0,4.118771570691068
64.0,2.31585,0.04083,1.5978,3.546007,,4624.0,-1.35417,0.00978,100.0,4.106283966339578
65.0,2.31399,0.04151,1.6245,3.546627,,,,,,
66.0,2.31771,0.04219,1.6509,3.547247,,4624.0,0.6715,0.0,0.0,4.165647906229287
67.0,2.31585,0.04286,1.6771,3.547557,,4625.0,0.6715,0.00019,12.6027,4.171673897622596
68.0,2.31585,0.04347,1.7013,3.548177,,4626.0,0.67336,0.00038,24.9658,4.124636946143464
69.0,2.31771,0.04417,1.7285,3.548487,,4627.0,0.6715,0.00056,37.3288,4.133610458456346
70.0,2.31585,0.04485,1.7552,3.549107,,4628.0,0.6715,0.00075,49.6918,4.228303677230458
71.0,2.31585,0.04553,1.7819,3.549417,,4629.0,0.6715,0.00094,62.5685,4.173600030478542
72.0,2.31585,0.04621,1.8086,3.550037,,4630.0,0.6715,0.00112,74.1781,4.147044416920367
73.0,2.31399,0.0469,1.8352,3.550657,,4631.0,0.6715,0.00132,87.2945,4.14516961184457
74.0,2.31585,0.04757,1.8617,3.550657,,4632.0,0.66964,0.00151,100.0,4.158104159778973
75.0,2.31585,0.04819,1.8858,3.550657,,4632.0,0.0,0.00151,100.0,4.249674053897595
76.0,2.31585,0.04884,1.9113,3.551587,,4633.0,0.0,0.00151,100.0,4.180778491385517
77.0,2.31771,0.04952,1.938,3.551897,,4634.0,0.0,0.00151,100.0,4.138538383565753
78.0,2.31585,0.0502,1.9644,3.552207,,4635.0,0.0,0.00151,100.0,4.148006747229548
79.0,2.31399,0.05081,1.9883,3.552827,,4636.0,0.0,0.00151,100.0,4.174548533069795
