测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,4.06064,0.0,0.0,3.578869,,3238.0,0.0,2.51879,100.0,4.2409582430110975
1.0,4.05878,0.00107,0.0425,3.585999,,3239.0,0.0,2.51879,100.0,4.078691736559838
2.0,4.05878,0.00227,0.09,3.59375,,3240.0,0.0,2.51879,100.0,4.1706442317943715
3.0,4.05878,0.00346,0.1374,3.59995,,3242.0,0.0,2.51879,100.0,4.182294006605354
4.0,4.05878,0.00466,0.1848,3.604911,,3243.0,0.0,2.51879,100.0,4.161447679581809
5.0,4.05878,0.00585,0.2323,3.609251,,3244.0,0.0,2.51879,100.0,4.236103397636883
6.0,4.05878,0.00704,0.2797,3.613281,,3245.0,0.0,2.51879,100.0,4.1945946286900035
7.0,4.05692,0.00824,0.3271,3.616691,,3246.0,0.0,2.51879,100.0,4.270689265998395
8.0,4.05878,0.00945,0.375,3.620102,,3247.0,0.0,2.51879,100.0,4.090684466101523
9.0,4.05878,0.01063,0.422,3.623202,,3248.0,0.0,2.51879,100.0,4.163612187431871
10.0,4.05878,0.01169,0.4641,3.625682,,3249.0,0.0,2.51879,100.0,4.158541985422269
11.0,4.05878,0.01288,0.5115,3.628472,,3250.0,0.0,2.51879,100.0,4.1199242826858
12.0,4.05692,0.01408,0.5589,3.630642,,3251.0,0.0,2.51879,100.0,4.127706816454555
14.0,4.05692,0.01527,0.6064,3.633122,,3252.0,0.0,2.51879,100.0,4.163412127474024
15.0,4.05878,0.01647,0.6538,3.635293,,3253.0,0.0,2.51879,100.0,4.092838311208216
16.0,4.05878,0.01752,0.6954,3.637153,,3254.0,0.0,2.51879,100.0,4.0999658544567215
17.0,4.05692,0.01871,0.7429,3.639013,,3255.0,0.0,2.51879,100.0,4.204414659763697
18.0,4.05878,0.01991,0.7903,3.640873,,3255.0,0.0,2.51879,100.0,4.196264793113277
19.0,4.05878,0.0211,0.8377,3.642733,,3255.0,0.0,2.51879,100.0,4.135465942699158
20.0,4.05878,0.0223,0.8852,3.644283,,,,,,
21.0,4.05878,0.02358,0.9362,3.645833,,3255.0,-0.66778,0.0,0.0,4.04125761492964
22.0,4.05878,0.02473,0.9819,3.647074,,3256.0,-0.66778,0.00018,1.8381,4.135129289876967
23.0,4.05878,0.02593,1.0293,3.648623,,3257.0,-0.66964,0.00038,3.8681,4.107552053443699
24.0,4.05878,0.02712,1.0767,3.649863,,3259.0,-0.66964,0.00057,5.898,4.105513120323606
25.0,4.05878,0.0283,1.1237,3.651104,,3260.0,-0.66964,0.00077,7.912,4.146879642342656
26.0,4.05692,0.02935,1.1653,3.652344,,3261.0,-0.66964,0.00094,9.6915,4.131957981085797
27.0,4.05878,0.03056,1.2132,3.653274,,3262.0,-0.66778,0.00114,11.7268,4.1452908864741325
28.0,4.05692,0.03175,1.2607,3.654204,,3263.0,-0.66964,0.00133,13.7567,4.086122202442324
29.0,4.05878,0.03295,1.3081,3.655444,,3264.0,-0.66964,0.00153,15.792,4.155921542196908
30.0,4.06064,0.03414,1.3555,3.656374,,3265.0,-0.66964,0.00173,17.8219,4.150143679494502
31.0,4.05692,0.03534,1.403,3.657304,,3266.0,-0.66964,0.00193,19.8572,4.08887756917729
32.0,4.05692,0.03653,1.4504,3.658234,,3267.0,-0.66964,0.00212,21.8925,4.114453281928504
