测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,4.638827,0.0,0.0,3.453931,,2926.0,-4.638517,0.0,0.0,3.9980218803463967
5,4.638827,0.006443,0.2446,3.453931,,2933.0,-4.638517,0.009019,0.345,4.005896340567592
6,4.638827,0.007731,0.2935,3.453931,,2934.0,-4.638517,0.010308,0.3943,4.1266498515121794
7,4.638517,0.00902,0.3424,3.453931,,2935.0,-4.638517,0.011596,0.4436,3.953149463861294
8,4.638517,0.010308,0.3913,3.453931,,2936.0,-4.638517,0.012885,0.4929,3.9953222504741333
9,4.638207,0.011597,0.4402,3.467882,,2937.0,-4.638827,0.014173,0.5422,3.9593738677523023
10,4.638207,0.012885,0.4891,3.467882,,2938.0,-4.638827,0.015462,0.5915,4.08273797902713
11,4.638207,0.014174,0.538,3.479353,,2939.0,-4.638827,0.01675,0.6408,4.09243821214296
12,4.638207,0.015462,0.5869,3.479353,,2940.0,-4.638827,0.018039,0.69,3.916727625975443
13,4.638207,0.01675,0.6358,3.490513,,2941.0,-4.638827,0.019328,0.7393,3.949587336798591
14,4.638517,0.018039,0.6847,3.490513,,2942.0,-4.638207,0.020616,0.7886,3.9794441498743893
15,4.638517,0.019327,0.7337,3.500124,,2943.0,-4.638207,0.021904,0.8379,3.921840329081016
16,4.638517,0.020616,0.7826,3.500124,,2944.0,-4.638207,0.023193,0.8872,3.9339845657042196
17,4.638517,0.021904,0.8315,3.507565,,2945.0,-4.638207,0.024481,0.9365,4.029294638460588
18,4.638207,0.023193,0.8804,3.517175,,2946.0,-4.638207,0.02577,0.9858,3.9794641185166753
19,4.638207,0.024481,0.9293,3.517175,,2947.0,-4.638207,0.027058,1.035,4.069903351807208
20,4.638207,0.025769,0.9782,3.525236,,2948.0,-4.638207,0.028346,1.0843,4.017409926330669
21,4.638207,0.027058,1.0271,3.525236,,2949.0,-4.638207,0.029635,1.1336,3.9412649063379988
22,4.638517,0.028346,1.076,3.532366,,2950.0,-4.638207,0.030923,1.1829,4.049480743313828
23,4.638517,0.029635,1.1249,3.532366,,2951.0,-4.638207,0.032211,1.2322,3.9774227958993964
24,4.638827,0.030923,1.1738,3.539496,,2952.0,-4.638207,0.0335,1.2815,4.008083699155584
25,4.638827,0.032212,1.2228,3.539496,,2953.0,-4.638207,0.034788,1.3308,3.9033000543992986
26,4.638517,0.0335,1.2717,3.547867,,2954.0,-4.638207,0.036077,1.38,3.948434293505542
27,4.638517,0.034789,1.3206,3.547867,,2955.0,-4.638517,0.037365,1.4293,3.920918179333028
28,4.638207,0.036077,1.3695,3.555928,,2956.0,-4.638517,0.038654,1.4786,3.985608910830203
29,4.638207,0.037366,1.4184,3.555928,,2957.0,-4.638517,0.039942,1.5279,4.005612844072495
30,4.638207,0.038654,1.4673,3.555928,,2958.0,-4.638517,0.041231,1.5772,3.955419442341457
31,4.638207,0.039942,1.5162,3.562748,,2959.0,-4.638517,0.042519,1.6265,3.960075349564899
32,4.638207,0.041231,1.5651,3.562748,,2960.0,-4.638517,0.043808,1.6758,3.9171596062943004
33,4.638827,0.042519,1.614,3.568638,,2961.0,-4.637897,0.045096,1.725,3.8935203586392446
34,4.638827,0.043808,1.6629,3.568638,,2962.0,-4.637897,0.046384,1.7743,4.070340541577137
35,4.638827,0.045096,1.7119,3.574219,,2963.0,-4.637897,0.047672,1.8236,4.078666278546945
36,4.638827,0.046385,1.7608,3.574219,,2964.0,-4.637897,0.048961,1.8729,4.012881493479401
37,4.638827,0.047674,1.8097,3.581969,,2965.0,-4.637897,0.050249,1.9222,3.948911673992451
38,4.638827,0.048962,1.8586,3.581969,,2966.0,-4.637897,0.051537,1.9715,3.923137305738483
39,4.638827,0.050251,1.9075,3.58693,,2967.0,-4.637897,0.052826,2.0207,3.912340939166004
40,4.638827,0.051539,1.9564,3.58693,,2968.0,-4.637897,0.054114,2.07,3.9358741975925637
41,4.638207,0.052828,2.0053,3.59158,,2969.0,-4.637897,0.055402,2.1193,3.85417259584959
42,4.638207,0.054116,2.0542,3.59158,,2970.0,-4.638207,0.056691,2.1686,3.9654705234527405
43,4.638207,0.055404,2.1031,3.5953,,2971.0,-4.638207,0.057979,2.2179,3.937609087158445
44,4.638207,0.056693,2.152,3.5953,,2972.0,-4.638517,0.059268,2.2672,3.943284717218962
45,4.638517,0.057981,2.201,3.60057,,2973.0,-4.638517,0.060556,2.3164,3.9180084943909463
46,4.638517,0.05927,2.2499,3.60057,,2974.0,-4.638517,0.061844,2.3657,3.9257383165766226
47,4.638517,0.060558,2.2988,3.602741,,2975.0,-4.638517,0.063133,2.415,3.91661448216368
48,4.638517,0.061847,2.3477,3.602741,,2976.0,-4.638517,0.064421,2.4643,3.9418583319405824
49,4.638517,0.063135,2.3966,3.602741,,2977.0,-4.638517,0.06571,2.5136,3.9797609918345036
50,4.638207,0.064424,2.4455,3.608321,,2978.0,-4.638517,0.066998,2.5629,3.994741409704827
51,4.638207,0.065712,2.4944,3.608321,,2979.0,-4.637897,0.068287,2.6122,3.9791578792304363
52,4.638207,0.067,2.5433,3.610801,,2980.0,-4.637897,0.069575,2.6614,3.93537901282385
53,4.638207,0.068289,2.5922,3.610801,,2981.0,-4.638517,0.070863,2.7107,3.9831910899089857
54,4.637897,0.069577,2.6411,3.614831,,2982.0,-4.638517,0.072152,2.76,3.937406846196221
55,4.637897,0.070865,2.69,3.614831,,2983.0,-4.638517,0.07344,2.8093,3.9425619798708813
56,4.638207,0.072154,2.7389,3.617932,,2984.0,-4.638517,0.074729,2.8586,3.907915451499605
57,4.638207,0.073442,2.7879,3.617932,,2985.0,-4.638517,0.076017,2.9079,3.981182039672215
58,4.638207,0.074731,2.8368,3.620102,,2986.0,-4.638517,0.077306,2.9572,3.923593889494361
59,4.638207,0.076019,2.8857,3.620102,,2987.0,-4.638517,0.078594,3.0065,3.9760274069965225
60,4.638207,0.077307,2.9346,3.622272,,2988.0,-4.638517,0.079883,3.0557,3.972220430229815
61,4.638207,0.078596,2.9835,3.622272,,2989.0,-4.638517,0.081171,3.105,3.8846978195583186
62,4.638207,0.079884,3.0324,3.624132,,2990.0,-4.638517,0.08246,3.1543,3.916596543908893
63,4.638207,0.081172,3.0813,3.624132,,2991.0,-4.638517,0.083748,3.2036,3.932910065832595
64,4.638207,0.082461,3.1302,3.624132,,2992.0,-4.638517,0.085037,3.2529,3.818072954228463
65,4.638207,0.083749,3.1791,3.626612,,2993.0,-4.638517,0.086325,3.3022,3.9094646398437316
66,4.638207,0.085038,3.228,3.626612,,2994.0,-4.638517,0.087614,3.3515,3.851838454906347
67,4.637897,0.086326,3.2769,3.628162,,2995.0,-4.638517,0.088902,3.4008,3.955666666348393
68,4.637897,0.087614,3.3258,3.628162,,2996.0,-4.638207,0.090191,3.45,3.9256183486936322
69,4.637897,0.088903,3.3747,3.629402,,2997.0,-4.638207,0.091479,3.4993,3.99623164112553
70,4.637897,0.090191,3.4236,3.629402,,2998.0,-4.638207,0.092767,3.5486,3.908355165592036
71,4.637897,0.091479,3.4725,3.631882,,2999.0,-4.638207,0.094056,3.5979,3.996092735064575
72,4.637897,0.092767,3.5214,3.631882,,3000.0,-4.638207,0.095344,3.6472,3.9348247180507925
73,4.638207,0.094056,3.5703,3.633743,,3001.0,-4.638517,0.096633,3.6965,3.9091054004234818
74,4.638207,0.095344,3.6193,3.633743,,3002.0,-4.638517,0.097921,3.7458,3.8710599796424283
75,4.637897,0.096633,3.6682,3.634363,,3003.0,-4.638517,0.09921,3.7951,3.831127407233125
76,4.637897,0.097921,3.7171,3.634363,,3004.0,-4.638517,0.100498,3.8443,4.0002484393444
77,4.638207,0.099209,3.766,3.634363,,3005.0,-4.638517,0.101786,3.8936,3.958753118144264
78,4.638207,0.100498,3.8149,3.636533,,3006.0,-4.638517,0.103075,3.9429,3.9175319181592463
79,4.638207,0.101786,3.8638,3.636533,,3007.0,-4.638207,0.104363,3.9922,3.948494970010262
80,4.637897,0.103074,3.9127,3.637153,,3008.0,-4.638207,0.105652,4.0415,3.9235949083369137
81,4.637897,0.104363,3.9616,3.637153,,3009.0,-4.638207,0.10694,4.0908,3.954125247506701
82,4.638207,0.105651,4.0105,3.638703,,3010.0,-4.638207,0.108229,4.1401,3.8586316082175482
83,4.638207,0.106939,4.0594,3.638703,,3011.0,-4.638207,0.109517,4.1893,4.02324067102173
84,4.637897,0.108228,4.1083,3.639633,,3012.0,-4.638207,0.110805,4.2386,3.9174948361519375
85,4.637897,0.109516,4.1572,3.639633,,3013.0,-4.638207,0.112094,4.2879,3.9131911963973187
86,4.638207,0.110804,4.2061,3.639633,,3014.0,-4.638207,0.113382,4.3372,3.8873597340403965
87,4.638207,0.112093,4.255,3.641493,,3015.0,-4.638207,0.11467,4.3865,3.91208666212944
88,4.638207,0.113381,4.3039,3.641803,,3016.0,-4.638207,0.115959,4.4358,3.911500948774495
89,4.638207,0.11467,4.3528,3.641803,,3017.0,-4.638207,0.117247,4.485,3.9791174868664805
90,4.638207,0.115958,4.4017,3.641803,,3018.0,-4.638207,0.118536,4.5343,3.85587343530512
91,4.638827,0.117247,4.4507,3.642423,,3019.0,-4.638207,0.119824,4.5836,3.9147119057065387
92,4.638827,0.118535,4.4996,3.642423,,3020.0,-4.637897,0.121112,4.6329,3.9685446341488557
