测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,2.319197,0.0,0.0,3.346044,,4733.0,-2.319197,0.0,0.0,4.109887996428864
4,2.319197,0.002577,0.0977,3.346044,,4739.0,-2.319197,0.003865,0.1468,4.013436615291728
5,2.319197,0.003221,0.1221,3.346044,,4740.0,-2.319197,0.00451,0.1713,4.061045529469344
6,2.31901,0.003865,0.1465,3.351624,,4741.0,-2.319197,0.005154,0.1957,4.039481719936455
7,2.318825,0.004509,0.1709,3.356275,,4742.0,-2.319197,0.005798,0.2202,4.1223800778719255
8,2.318825,0.005154,0.1954,3.360615,,4743.0,-2.319197,0.006442,0.2447,4.00131761189872
9,2.319383,0.005798,0.2198,3.365265,,4744.0,-2.31901,0.007086,0.2691,4.075251489156945
10,2.319383,0.006442,0.2442,3.365265,,4745.0,-2.31901,0.007731,0.2936,4.060753507555151
11,2.319383,0.007086,0.2686,3.369606,,4746.0,-2.31901,0.008375,0.3181,4.0837129437218085
12,2.31901,0.007731,0.2931,3.377046,,4747.0,-2.31901,0.009019,0.3425,3.978783658905306
13,2.31901,0.008375,0.3175,3.377046,,4748.0,-2.31901,0.009663,0.367,4.164035936081519
14,2.31901,0.009019,0.3419,3.382006,,4749.0,-2.31901,0.010307,0.3915,4.052570408993498
15,2.318825,0.009663,0.3663,3.384797,,4750.0,-2.31901,0.010951,0.4159,4.087981013514664
16,2.318825,0.010307,0.3907,3.387897,,4751.0,-2.31901,0.011596,0.4404,4.11497373412468
17,2.318825,0.010951,0.4151,3.387897,,4752.0,-2.31901,0.01224,0.4649,4.0290668360806
18,2.318825,0.011595,0.4396,3.390997,,4753.0,-2.31901,0.012884,0.4893,4.052603851042706
19,2.318825,0.012239,0.464,3.392857,,4754.0,-2.31901,0.013528,0.5138,4.099827378007433
20,2.318825,0.012884,0.4884,3.396577,,4755.0,-2.31901,0.014172,0.5383,4.086610568177085
21,2.319197,0.013528,0.5128,3.399678,,4756.0,-2.319197,0.014816,0.5627,4.03819539701571
22,2.319197,0.014172,0.5372,3.399678,,4757.0,-2.319197,0.015461,0.5872,4.113026790144279
23,2.319197,0.014816,0.5617,3.402778,,4758.0,-2.319197,0.016105,0.6117,4.017171247444016
24,2.31901,0.01546,0.5861,3.407118,,4759.0,-2.319197,0.016749,0.6361,4.0046975180255435
25,2.31901,0.016105,0.6105,3.407118,,4760.0,-2.319197,0.017393,0.6606,4.07043623671705
26,2.31901,0.016749,0.6349,3.410838,,4761.0,-2.319197,0.018038,0.6851,4.017743433331115
27,2.31901,0.017393,0.6593,3.414248,,4762.0,-2.319197,0.018682,0.7095,4.039691823623628
28,2.319197,0.018037,0.6838,3.417349,,4763.0,-2.319197,0.019326,0.734,4.161515102204229
