测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,4.348338,0.0,0.0,3.44277,,3341.0,-4.349268,0.0,0.0,3.9190491119334028
6,4.348338,0.007247,0.257,3.44277,,3348.0,-4.349268,0.008457,0.3226,4.00063786535901
7,4.348338,0.008455,0.2999,3.44277,,3349.0,-4.349268,0.009665,0.3687,4.0835662012113065
8,4.348649,0.009663,0.3427,3.44277,,3350.0,-4.349268,0.010873,0.4148,4.079187761277462
9,4.348649,0.010871,0.3855,3.44277,,3351.0,-4.348958,0.012081,0.4609,3.9324559667032797
10,4.348649,0.012079,0.4284,3.44277,,3352.0,-4.348958,0.013289,0.507,4.0329394731288115
11,4.348338,0.013287,0.4712,3.456411,,3353.0,-4.348958,0.014497,0.5531,3.970512395740679
12,4.348338,0.014495,0.5141,3.456411,,3354.0,-4.348958,0.015705,0.5991,4.0245782019393745
13,4.348649,0.015703,0.5569,3.469122,,3355.0,-4.348958,0.016913,0.6452,3.991396971395518
14,4.348649,0.016911,0.5997,3.469122,,3356.0,-4.348958,0.018121,0.6913,4.024559483170199
15,4.348958,0.018119,0.6426,3.479973,,3357.0,-4.348958,0.019329,0.7374,3.9764957700970376
16,4.348958,0.019327,0.6854,3.479973,,3358.0,-4.348958,0.020538,0.7835,4.075477929685459
17,4.348958,0.020535,0.7283,3.479973,,3359.0,-4.348958,0.021746,0.8296,3.8969757798117617
18,4.348958,0.021743,0.7711,3.491133,,3360.0,-4.348958,0.022954,0.8757,4.089820350965927
19,4.348958,0.022951,0.814,3.491133,,3361.0,-4.348958,0.024162,0.9218,3.9605654218450552
20,4.348958,0.024159,0.8568,3.500434,,3362.0,-4.348958,0.02537,0.9678,4.0422099631046535
21,4.348958,0.025367,0.8996,3.500434,,3363.0,-4.348958,0.026578,1.0139,3.995503145728158
22,4.348958,0.026575,0.9425,3.510045,,3364.0,-4.348958,0.027786,1.06,3.9950257621638947
23,4.348958,0.027783,0.9853,3.510045,,3365.0,-4.348958,0.028994,1.1061,3.9549179014333213
24,4.348958,0.028991,1.0282,3.518725,,3366.0,-4.348649,0.030202,1.1522,3.899758708770113
25,4.348958,0.030199,1.071,3.518725,,3367.0,-4.348649,0.03141,1.1983,3.9767762819471018
26,4.348649,0.031407,1.1139,3.518725,,3368.0,-4.348649,0.032618,1.2443,4.046841997072351
27,4.348649,0.032615,1.1567,3.526166,,3369.0,-4.348649,0.033826,1.2904,3.939152803387021
28,4.348649,0.033823,1.1995,3.526166,,3370.0,-4.348649,0.035034,1.3365,4.005167071410766
29,4.348649,0.035031,1.2424,3.534226,,3371.0,-4.348649,0.036242,1.3826,3.9451902679830497
30,4.348649,0.036239,1.2852,3.534226,,3372.0,-4.348338,0.037449,1.4287,3.921012565245705
31,4.348958,0.037447,1.3281,3.541357,,3373.0,-4.348338,0.038657,1.4747,4.0059480682155115
32,4.348958,0.038655,1.3709,3.541357,,3374.0,-4.348338,0.039865,1.5208,3.9743578956341965
33,4.348958,0.039863,1.4138,3.541357,,3375.0,-4.348338,0.041073,1.5669,3.963369249824012
34,4.348958,0.041071,1.4566,3.548487,,3376.0,-4.348338,0.042281,1.613,3.9938116673990414
35,4.348338,0.042279,1.4994,3.548487,,3377.0,-4.348338,0.043489,1.6591,3.921276985541886
36,4.348338,0.043487,1.5423,3.554688,,3378.0,-4.348958,0.044697,1.7052,4.030221190225599
37,4.348338,0.044695,1.5851,3.554688,,3379.0,-4.348958,0.045905,1.7512,3.9707190883948256
38,4.348338,0.045903,1.6279,3.560578,,3380.0,-4.348958,0.047113,1.7973,3.994498627587356
39,4.348338,0.04711,1.6708,3.560578,,3381.0,-4.348958,0.048321,1.8434,3.9623017174488964
40,4.348958,0.048318,1.7136,3.565228,,3382.0,-4.348958,0.049529,1.8895,3.9873191760922517
41,4.348958,0.049527,1.7565,3.565228,,3383.0,-4.348958,0.050737,1.9356,3.9508265414169434
42,4.348958,0.050735,1.7993,3.565228,,3384.0,-4.348338,0.051945,1.9817,3.9683184308724866
43,4.348958,0.051943,1.8422,3.571738,,3385.0,-4.348338,0.053153,2.0277,3.9212149797246725
44,4.348958,0.053151,1.885,3.571738,,3386.0,-4.348338,0.054361,2.0738,3.917414362340704
45,4.348338,0.054359,1.9278,3.576699,,3387.0,-4.348338,0.055569,2.1199,3.976008635363581
46,4.348338,0.055566,1.9707,3.576699,,3388.0,-4.348338,0.056776,2.166,4.064482946359013
47,4.348338,0.056774,2.0135,3.583519,,3389.0,-4.348338,0.057984,2.2121,3.9140071737247
48,4.348338,0.057982,2.0563,3.583519,,3390.0,-4.348649,0.059192,2.2581,3.973063727850977
49,4.348338,0.05919,2.0992,3.58693,,3391.0,-4.348649,0.0604,2.3042,4.0426001881879685
50,4.348338,0.060398,2.142,3.58693,,3392.0,-4.348649,0.061608,2.3503,3.9061538071330966
51,4.348649,0.061606,2.1849,3.58693,,3393.0,-4.348649,0.062816,2.3964,3.9424556498577568
52,4.348649,0.062814,2.2277,3.59096,,3394.0,-4.348649,0.064024,2.4425,3.9583979569223633
53,4.348649,0.064022,2.2705,3.59096,,3395.0,-4.348649,0.065232,2.4886,3.975176472847388
54,4.348649,0.06523,2.3134,3.5953,,3396.0,-4.348649,0.06644,2.5346,3.7748814920522
55,4.348649,0.066438,2.3562,3.5953,,3397.0,-4.348649,0.067648,2.5807,3.969781437657481
56,4.348958,0.067646,2.3991,3.59809,,3398.0,-4.348649,0.068856,2.6268,3.9325078985521236
57,4.348958,0.068854,2.4419,3.59809,,3399.0,-4.348338,0.070064,2.6729,3.8672221783891887
58,4.348958,0.070062,2.4848,3.59809,,3400.0,-4.348338,0.071272,2.719,3.910486752582541
59,4.348958,0.07127,2.5276,3.60181,,3401.0,-4.348338,0.07248,2.765,3.846797568359196
60,4.348958,0.072478,2.5704,3.60181,,3402.0,-4.348649,0.073687,2.8111,3.9642807473355224
61,4.348958,0.073686,2.6133,3.605531,,3403.0,-4.348649,0.074895,2.8572,3.9264661992878924
62,4.348958,0.074894,2.6561,3.605531,,3404.0,-4.348649,0.076103,2.9033,3.947515978042023
63,4.348958,0.076102,2.699,3.608011,,3405.0,-4.348338,0.077311,2.9494,3.9834664506047917
64,4.348958,0.07731,2.7418,3.608011,,3406.0,-4.348338,0.078519,2.9955,3.9268718434812047
65,4.348958,0.078518,2.7847,3.611421,,3407.0,-4.348338,0.079727,3.0415,3.932752465452815
