测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,3.47842,0.0,0.0,3.59158,,3439.0,0.0,2.47351,100.0,4.022629804054514
1.0,3.48586,0.00093,0.0375,3.5984,,3440.0,0.0,2.47351,100.0,4.468139240474762
2.0,3.47656,0.00192,0.0778,3.604291,,3441.0,0.0,2.47351,100.0,4.18251716759762
3.0,3.47098,0.00292,0.1181,3.608321,,3443.0,0.0,2.47351,100.0,4.2354381662749265
4.0,3.484,0.00391,0.158,3.611421,,3444.0,0.0,2.47351,100.0,4.113647601530281
5.0,3.48028,0.00489,0.1979,3.614211,,3445.0,0.0,2.47351,100.0,3.9733221037896995
6.0,3.48028,0.00588,0.2378,3.617621,,3446.0,0.0,2.47351,100.0,4.134366932882592
7.0,3.48586,0.00687,0.2777,3.619792,,3447.0,0.0,2.47351,100.0,4.185565335810297
8.0,3.48586,0.00791,0.3199,3.621962,,3448.0,0.0,2.47351,100.0,4.271524023370035
9.0,3.48586,0.00888,0.3591,3.624132,,3449.0,0.0,2.47351,100.0,4.074785475859952
10.0,3.48028,0.00988,0.3993,3.625682,,3450.0,0.0,2.47351,100.0,4.138462341700927
11.0,3.47842,0.01087,0.4396,3.627542,,3451.0,0.0,2.47351,100.0,4.1922828190666594
12.0,3.48586,0.01187,0.4799,3.628782,,3452.0,0.0,2.47351,100.0,3.995400612519739
13.0,3.49144,0.01288,0.5206,3.630642,,3453.0,0.0,2.47351,100.0,4.106861671256126
14.0,3.48586,0.01387,0.5609,3.630952,,3454.0,0.0,2.47351,100.0,4.185581764603432
15.0,3.484,0.01486,0.6008,3.632503,,3455.0,0.0,2.47351,100.0,4.082273779025252
16.0,3.48586,0.01577,0.6376,3.634053,,3456.0,0.0,2.47351,100.0,3.909280678898404
17.0,3.48028,0.01676,0.6775,3.635293,,3456.0,0.0,2.47351,100.0,4.076347686509212
18.0,3.47842,0.01775,0.7178,3.636843,,3456.0,0.0,2.47351,100.0,4.3664643477268505
19.0,3.48028,0.01874,0.7576,3.637773,,,,,,
20.0,3.47284,0.01973,0.7975,3.638703,,3456.0,-0.67522,0.0,0.0,4.3138913984671925
21.0,3.484,0.02072,0.8378,3.640253,,3458.0,-0.67708,0.00028,2.8244,4.009925024649422
23.0,3.48028,0.02171,0.8777,3.641183,,3459.0,-0.67708,0.00048,4.8622,4.21728562614101
24.0,3.48028,0.02271,0.918,3.642423,,3460.0,-0.67708,0.00067,6.8208,3.991042459136469
25.0,3.48586,0.0237,0.9583,3.643353,,3461.0,-0.67708,0.00085,8.6844,4.02776102373822
26.0,3.48028,0.02469,0.9982,3.643973,,3462.0,-0.67708,0.00104,10.5849,4.054270922880932
27.0,3.47656,0.02568,1.0381,3.644903,,3463.0,-0.67708,0.00124,12.6755,4.028997067813984
28.0,3.484,0.02667,1.0783,3.645833,,3464.0,-0.67708,0.00144,14.7133,3.9924517430615936
29.0,3.484,0.02766,1.1182,3.646453,,3465.0,-0.67708,0.00164,16.7511,4.129596293200511
30.0,3.47656,0.02866,1.1585,3.647074,,3466.0,-0.67708,0.00184,18.7678,4.26166747148311
31.0,3.48772,0.02965,1.1988,3.648004,,3467.0,-0.67708,0.00201,20.5575,4.162578584609875
