测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,3.46912,0.0,0.0,3.501364,,3374.0,0.0,2.47059,100.0,4.2326196342411295
1.0,3.47284,0.00095,0.0386,3.509735,,3375.0,0.0,2.47059,100.0,4.222680327856212
2.0,3.47284,0.002,0.0808,3.516865,,3376.0,0.0,2.47059,100.0,4.0736030976997215
3.0,3.47284,0.00294,0.1191,3.522445,,3377.0,0.0,2.47059,100.0,4.20364919973739
4.0,3.4747,0.00398,0.1612,3.527406,,3378.0,0.0,2.47059,100.0,4.30208460875977
5.0,3.4747,0.00492,0.1991,3.531436,,3379.0,0.0,2.47059,100.0,4.216452205968217
6.0,3.47284,0.00597,0.2417,3.535776,,3380.0,0.0,2.47059,100.0,3.99375541357076
7.0,3.4747,0.00692,0.28,3.539496,,3381.0,0.0,2.47059,100.0,4.174725279323074
8.0,3.4747,0.00797,0.3225,3.543217,,3382.0,0.0,2.47059,100.0,4.2086355531918995
9.0,3.47284,0.00891,0.3608,3.546627,,3383.0,0.0,2.47059,100.0,4.2578359991384245
10.0,3.4747,0.00996,0.403,3.550037,,3384.0,0.0,2.47059,100.0,4.450691084860073
11.0,3.47284,0.0109,0.4413,3.553447,,3385.0,0.0,2.47059,100.0,4.22302638907484
12.0,3.4747,0.01194,0.4834,3.556548,,3386.0,0.0,2.47059,100.0,4.181602320921385
13.0,3.47284,0.01289,0.5217,3.559648,,3388.0,0.0,2.47059,100.0,4.236645922475853
14.0,3.47098,0.01393,0.5639,3.562748,,3389.0,0.0,2.47059,100.0,4.1199722141359745
15.0,3.4747,0.01487,0.6018,3.565228,,3390.0,0.0,2.47059,100.0,4.145473594037157
17.0,3.4747,0.01593,0.6447,3.568018,,3391.0,0.0,2.47059,100.0,4.217972863089905
18.0,3.47656,0.01686,0.6826,3.570498,,3391.0,0.0,2.47059,100.0,4.283487797450174
19.0,3.47284,0.01792,0.7252,3.572979,,3391.0,0.0,2.47059,100.0,4.223430588660892
20.0,3.4747,0.01885,0.763,3.575459,,,,,,
21.0,3.47284,0.0199,0.8056,3.577629,,3391.0,-0.66964,0.0,0.0,4.043926640138766
