测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,5.78869,0.0,0.0,3.527406,,3035,-2.89993,0.0,0.0,4.107557320426153
1.0,5.79613,0.00155,0.0539,3.541977,,3036,-2.89807,0.00076,0.0276,4.0814824166861445
2.0,5.79799,0.00325,0.1135,3.555618,,3037,-2.89993,0.00161,0.0588,4.085754771471128
3.0,5.79613,0.00496,0.173,3.565848,,3038,-2.89621,0.0025,0.0915,4.0579470176224275
4.0,5.79985,0.00667,0.2325,3.574529,,3039,-2.89993,0.00332,0.1212,4.06373274427554
5.0,5.79799,0.00836,0.2915,3.583209,,3040,-2.89993,0.00417,0.1525,4.084235179512649
6.0,5.79613,0.00986,0.3438,3.59065,,3041,-2.89993,0.00503,0.1837,4.068549487542278
7.0,5.79799,0.01156,0.4033,3.5984,,3042,-2.89807,0.00588,0.2149,4.065906321345678
8.0,5.79613,0.01327,0.4628,3.604911,,3043,-2.89807,0.00673,0.2461,4.063475885291845
9.0,5.79613,0.01496,0.5218,3.611421,,3044,-2.90179,0.00758,0.277,4.064492586392043
10.0,5.79799,0.01667,0.5814,3.617621,,3045,-2.89993,0.00833,0.3044,4.049278575187213
11.0,5.79613,0.01837,0.6409,3.623822,,3047,-2.90365,0.00918,0.3356,4.070462122905514
12.0,5.79613,0.02006,0.6999,3.629712,,3048,-2.90365,0.01004,0.3668,4.052678414308653
14.0,5.79613,0.02177,0.7594,3.635293,,3049,-2.89621,0.01089,0.398,4.068716026263179
15.0,5.79613,0.02348,0.819,3.640563,,3050,-2.89807,0.01174,0.4292,4.053039725529249
16.0,5.79799,0.02517,0.8779,3.645833,,3051,-2.89993,0.01253,0.4578,4.0608726391022545
17.0,5.79613,0.02687,0.9375,3.650484,,3052,-2.89807,0.01338,0.489,4.048662207946359
18.0,5.79799,0.02858,0.997,3.655444,,3053,-2.89993,0.01423,0.5202,4.049515887344333
19.0,5.79799,0.03029,1.0566,3.659784,,3054,-2.89807,0.01509,0.5514,4.037067104279972
20.0,5.79799,0.03198,1.1155,3.664124,,3055,-2.89807,0.01592,0.5817,4.03560667500635
21.0,5.79613,0.03348,1.1678,3.668155,,3056,-2.89993,0.01672,0.6111,4.0540883698250925
22.0,5.79613,0.03518,1.2273,3.672185,,3057,-2.89621,0.01758,0.6424,4.0479814932586375
23.0,5.79799,0.03689,1.2869,3.675595,,3058,-2.89993,0.01843,0.6736,4.071568476149395
24.0,5.79799,0.03858,1.3458,3.679316,,3059,-2.90179,0.01928,0.7048,4.030589166369902
25.0,5.79613,0.04013,1.3998,3.682416,,3060,-2.89993,0.02014,0.736,4.047670246433888
26.0,5.79613,0.04183,1.4593,3.686136,,3061,-2.89993,0.02099,0.7672,4.042334027348523
27.0,5.79613,0.04352,1.5183,3.689236,,3062,-2.89807,0.02184,0.7981,4.037449341982174
28.0,5.79799,0.04502,1.5705,3.692336,,3063,-2.90365,0.02269,0.8293,4.0433367803163165
29.0,5.79799,0.04673,1.6301,3.695127,,3064,-2.89993,0.02354,0.8605,4.030878028638435
30.0,5.79427,0.04842,1.689,3.697607,,3065,-2.89807,0.0244,0.8917,4.040211316370977
31.0,5.80171,0.05019,1.7508,3.700087,,3066,-2.90365,0.02525,0.9229,4.052357862529221
32.0,5.79613,0.05177,1.8059,3.702877,,3067,-2.89993,0.0261,0.9538,4.0205839529918865
33.0,5.79799,0.05348,1.8654,3.705357,,3068,-2.90179,0.02685,0.9812,4.03821712533992
34.0,5.79427,0.05518,1.925,3.707527,,3069,-2.89993,0.02772,1.0133,4.023877981907753
35.0,5.79613,0.05689,1.9845,3.709697,,3070,-2.89993,0.02853,1.0427,4.026394378369904
36.0,5.79241,0.0586,2.044,3.711558,,3072,-2.89993,0.02938,1.0739,4.055667803301203
37.0,5.79799,0.0603,2.1036,3.713418,,3073,-2.89993,0.03024,1.1051,4.034851314865139
39.0,5.80171,0.06201,2.1631,3.715278,,3074,-2.89993,0.03109,1.1363,4.062615425948849
40.0,5.79799,0.0637,2.2221,3.716828,,3075,-2.89993,0.03194,1.1672,4.025039466076832
41.0,5.79799,0.06541,2.2816,3.718378,,3076,-2.89993,0.03269,1.1946,4.0256803985717555
42.0,5.79427,0.06711,2.3412,3.719928,,3077,-2.90179,0.03354,1.2258,4.023216718132698
43.0,5.79985,0.06882,2.4007,3.721478,,3078,-2.89993,0.03439,1.257,4.022471675377936
44.0,5.79613,0.07053,2.4603,3.722718,,3079,-2.90179,0.03525,1.2882,4.039174997478446
45.0,5.79799,0.07222,2.5192,3.723958,,3080,-2.89993,0.0361,1.3195,4.024374424454898
46.0,5.79799,0.07372,2.5715,3.725199,,3081,-2.90179,0.03696,1.3507,4.025199470628769
47.0,5.79799,0.07542,2.631,3.726748,,3082,-2.89807,0.03781,1.3819,4.0152709737828784
48.0,5.79799,0.07713,2.6906,3.727679,,3083,-2.89807,0.03866,1.413,4.029752385858569
