测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0.0,4.350819,0.0,0.0,3.397817,,3610,-1.448103,0.0,0.0,4.119174806996445
7.0,4.350819,0.00846,0.2907,3.397817,,3619,-1.448103,0.00362,0.1433,4.132667988355484
8.0,4.350819,0.009668,0.3322,3.397817,,3620,-1.448103,0.004023,0.1592,4.106347364734147
9.0,4.350819,0.010877,0.3737,3.397817,,3621,-1.448103,0.004425,0.1752,4.108592431020737
10.0,4.350819,0.012086,0.4152,3.397817,,3622,-1.448103,0.004827,0.1911,4.0847719827625575
11.0,4.350819,0.013294,0.4568,3.397817,,3623,-1.448103,0.005229,0.207,4.107927437329625
12.0,4.350819,0.014503,0.4983,3.415488,,3624,-1.448103,0.005632,0.2229,4.098069155541789
13.0,4.350819,0.015711,0.5398,3.415488,,3625,-1.448103,0.006034,0.2388,4.104338553825467
14.0,4.350819,0.01692,0.5813,3.43099,,3626,-1.448103,0.006436,0.2548,4.108853133895739
15.0,4.350819,0.018128,0.6229,3.43099,,3627,-1.448103,0.006838,0.2707,4.081576244840298
16.0,4.350819,0.019337,0.6644,3.43099,,3628,-1.448103,0.007241,0.2866,4.107314740972393
17.0,4.350819,0.020546,0.7059,3.44339,,3629,-1.448103,0.007643,0.3025,4.095735404783987
18.0,4.350819,0.021754,0.7474,3.44339,,3630,-1.448103,0.008045,0.3185,4.108432960186826
19.0,4.350819,0.022963,0.789,3.456721,,3631,-1.448103,0.008447,0.3344,4.101875372159999
20.0,4.350819,0.024171,0.8305,3.456721,,3632,-1.448103,0.00885,0.3503,4.093207994717639
21.0,4.350819,0.02538,0.872,3.456721,,3633,-1.448103,0.009252,0.3662,4.092767508085252
22.0,4.350819,0.026588,0.9135,3.468812,,3634,-1.448103,0.009654,0.3822,4.0934387137979185
23.0,4.350819,0.027797,0.9551,3.468812,,3635,-1.448103,0.010056,0.3981,4.093176983933175
24.0,4.350508,0.029005,0.9966,3.480283,,3636,-1.448103,0.010459,0.414,4.105739723592921
25.0,4.350508,0.030214,1.0381,3.480283,,3637,-1.448103,0.010861,0.4299,4.091816109959132
26.0,4.350508,0.031422,1.0796,3.480283,,3638,-1.448103,0.011263,0.4459,4.079158957540347
27.0,4.350819,0.032631,1.1212,3.491443,,3639,-1.448103,0.011665,0.4618,4.08852664794286
28.0,4.350819,0.033839,1.1627,3.491443,,3640,-1.448103,0.012068,0.4777,4.08052591256464
29.0,4.350819,0.035048,1.2042,3.499814,,3641,-1.448103,0.01247,0.4936,4.086949066838132
30.0,4.350819,0.036257,1.2457,3.499814,,3642,-1.448103,0.012872,0.5095,4.091010925238959
31.0,4.351129,0.037465,1.2873,3.509735,,3643,-1.448103,0.013274,0.5255,4.095918815851935
32.0,4.351129,0.038674,1.3288,3.509735,,3644,-1.448413,0.013677,0.5414,4.073383177609375
33.0,4.351129,0.039883,1.3703,3.509735,,3645,-1.448413,0.014079,0.5573,4.091098922368909
34.0,4.351129,0.041091,1.4118,3.517795,,3646,-1.448413,0.014481,0.5732,4.072482775229703
35.0,4.351129,0.0423,1.4534,3.517795,,3647,-1.448413,0.014884,0.5892,4.091148220612494
36.0,4.351129,0.043508,1.4949,3.526166,,3648,-1.448413,0.015286,0.6051,4.082484190220027
37.0,4.351129,0.044717,1.5364,3.526166,,3649,-1.448413,0.015688,0.621,4.077601516752145
38.0,4.351129,0.045926,1.578,3.526166,,3650,-1.448413,0.016091,0.637,4.082087356691543
39.0,4.350819,0.047134,1.6195,3.532986,,3651,-1.448413,0.016493,0.6529,4.091683480324415
40.0,4.350819,0.048343,1.661,3.532986,,3652,-1.448413,0.016895,0.6688,4.059376955312865
41.0,4.350819,0.049551,1.7025,3.538877,,3653,-1.448413,0.017298,0.6847,4.077530258046219
42.0,4.350819,0.05076,1.7441,3.538877,,3654,-1.448413,0.0177,0.7007,4.092406716097075
43.0,4.350819,0.051969,1.7856,3.544147,,3655,-1.448413,0.018102,0.7166,4.090007779145826
44.0,4.350819,0.053177,1.8271,3.544147,,3656,-1.448413,0.018505,0.7325,4.08337134516578
45.0,4.350508,0.054386,1.8686,3.544147,,3657,-1.448413,0.018907,0.7484,4.076145780366265
46.0,4.350508,0.055594,1.9102,3.548797,,3658,-1.448413,0.019309,0.7644,4.068537827357137
47.0,4.350508,0.056803,1.9517,3.548797,,3659,-1.448413,0.019712,0.7803,4.094114816063522
48.0,4.350508,0.058011,1.9932,3.557168,,3660,-1.448413,0.020114,0.7962,4.07796349812121
49.0,4.350508,0.059219,2.0347,3.557168,,3661,-1.448413,0.020516,0.8121,4.075964714253036
50.0,4.350508,0.060428,2.0762,3.557168,,3662,-1.448103,0.020919,0.8281,4.0744954257318495
51.0,4.350508,0.061636,2.1178,3.561508,,3663,-1.448103,0.021321,0.844,4.078279504962225
52.0,4.350508,0.062845,2.1593,3.561508,,3664,-1.448103,0.021723,0.8599,4.079585230983769
53.0,4.350508,0.064053,2.2008,3.567708,,3665,-1.448103,0.022125,0.8758,4.067475619340868
54.0,4.350508,0.065262,2.2423,3.567708,,3666,-1.448103,0.022528,0.8918,4.0689160150926735
55.0,4.350819,0.06647,2.2839,3.573289,,3667,-1.448413,0.02293,0.9077,4.062865154455735
56.0,4.350819,0.067679,2.3254,3.573289,,3668,-1.448413,0.023332,0.9236,4.091865681172601
57.0,4.350819,0.068888,2.3669,3.573289,,3669,-1.448413,0.023735,0.9395,4.071309798573715
58.0,4.350819,0.070096,2.4084,3.577939,,3670,-1.448723,0.024137,0.9555,4.064927763632421
59.0,4.350819,0.071305,2.45,3.577939,,3671,-1.448723,0.024539,0.9714,4.068485051284632
60.0,4.350819,0.072513,2.4915,3.582279,,3672,-1.448723,0.024942,0.9873,4.083859677210535
61.0,4.350819,0.073722,2.533,3.582279,,3673,-1.448723,0.025344,1.0033,4.074223782558883
62.0,4.350819,0.07493,2.5745,3.582279,,3674,-1.448723,0.025747,1.0192,4.070119981116164
63.0,4.350819,0.076139,2.616,3.58786,,3675,-1.448413,0.026149,1.0351,4.076035387391202
64.0,4.350819,0.077347,2.6576,3.58786,,3676,-1.448413,0.026551,1.0511,4.0708180407047045
65.0,4.350819,0.078556,2.6991,3.59189,,3677,-1.448413,0.026954,1.067,4.077939108864073
66.0,4.350819,0.079765,2.7406,3.59189,,3678,-1.448413,0.027356,1.0829,4.054964580625096
