测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,1.448847,0.0,0.0,3.195684,,7011.0,-0.940848,0.0,0.0,4.1433501462300635
2,1.448847,0.000805,0.03,3.239087,,7013.0,-1.448661,0.000805,0.0302,4.138613003147773
3,1.448847,0.001207,0.0449,3.243738,,7014.0,-1.448847,0.001207,0.0453,4.135450062913954
4,1.448847,0.00161,0.0599,3.248388,,7015.0,-1.448847,0.00161,0.0604,4.118042774461863
5,1.448847,0.002012,0.0749,3.252108,,7016.0,-1.448847,0.002012,0.0755,4.126232629712351
6,1.448847,0.002415,0.0899,3.254588,,7017.0,-1.448847,0.002415,0.0906,4.118283554498343
7,1.449033,0.002817,0.1048,3.258309,,7018.0,-1.448661,0.002817,0.1057,4.13044718024744
8,1.449033,0.00322,0.1198,3.262339,,7019.0,-1.448847,0.00322,0.1208,4.12211523964352
9,1.448847,0.003622,0.1348,3.263269,,7020.0,-1.448847,0.003622,0.1359,4.131934069438598
10,1.448847,0.004025,0.1498,3.264819,,7021.0,-1.448847,0.004024,0.151,4.129910935374207
11,1.448847,0.004427,0.1648,3.269159,,7022.0,-1.448847,0.004427,0.1661,4.110335193645635
12,1.448847,0.00483,0.1797,3.270709,,7023.0,-1.448847,0.004829,0.1812,4.126502170099575
13,1.448847,0.005232,0.1947,3.272879,,7024.0,-1.448847,0.005232,0.1963,4.104115068607261
14,1.449033,0.005635,0.2097,3.27598,,7025.0,-1.448847,0.005634,0.2113,4.122383764359251
15,1.449033,0.006037,0.2247,3.27846,,7026.0,-1.448847,0.006037,0.2264,4.096984267343055
16,1.448847,0.00644,0.2397,3.28032,,7027.0,-1.448847,0.006439,0.2415,4.122984149069369
17,1.448847,0.006842,0.2546,3.28311,,7028.0,-1.448847,0.006842,0.2566,4.0985704322086995
18,1.448847,0.007244,0.2696,3.28652,,7029.0,-1.448661,0.007244,0.2717,4.101001400275173
19,1.448847,0.007647,0.2846,3.28776,,7030.0,-1.448847,0.007646,0.2868,4.102038119302813
20,1.448661,0.008049,0.2996,3.28931,,7031.0,-1.448847,0.008049,0.3019,4.097183957255978
21,1.448847,0.008452,0.3145,3.291481,,7032.0,-1.448661,0.008451,0.317,4.115525058158125
22,1.448847,0.008854,0.3295,3.293961,,7033.0,-1.448661,0.008854,0.3321,4.08391082949086
23,1.448847,0.009257,0.3445,3.296441,,7034.0,-1.448847,0.009256,0.3472,4.103925834994827
24,1.448847,0.009659,0.3595,3.297991,,7035.0,-1.448847,0.009659,0.3623,4.104823118672518
