测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,2.90365,0.0,0.0,3.418589,,4026.0,-5.79799,0.0,0.0,3.985498258555155
1,2.89807,0.00079,0.0295,3.422929,,4027.0,-5.79799,0.00164,0.0616,3.9914581606558253
2,2.89993,0.00164,0.0614,3.43068,,4028.0,-5.80171,0.00314,0.1178,3.979739881769518
3,2.89807,0.00249,0.0933,3.43657,,4029.0,-5.80171,0.00485,0.1818,3.9732200364938075
4,2.89993,0.00341,0.1276,3.44153,,4030.0,-5.79985,0.00656,0.2459,3.9740620667555593
5,2.89807,0.00419,0.1565,3.445871,,4031.0,-5.79985,0.00826,0.3099,3.931968196922866
6,2.89807,0.00504,0.1884,3.450211,,4032.0,-5.79985,0.00997,0.3739,3.9463782488952304
7,2.89807,0.00589,0.2203,3.454241,,4033.0,-5.79985,0.01168,0.438,3.924927511018924
8,2.89807,0.00674,0.2519,3.457651,,4034.0,-5.79799,0.01339,0.502,3.923137313292838
9,2.89807,0.00759,0.2839,3.461371,,4035.0,-5.79985,0.01511,0.5666,3.942770699943047
10,2.89807,0.00844,0.3158,3.464782,,4036.0,-5.80171,0.01682,0.6307,3.924776059702144
12,2.89807,0.00929,0.3474,3.467882,,4037.0,-5.79985,0.01853,0.6947,3.9216211310487017
13,2.89993,0.01014,0.3793,3.470982,,4038.0,-5.79985,0.02028,0.7605,3.935750177628923
14,2.89807,0.011,0.4112,3.474392,,4039.0,-5.79985,0.02194,0.8228,3.93230514242894
15,2.89807,0.01184,0.4428,3.477493,,4040.0,-5.79799,0.02365,0.8868,3.916593743058003
16,2.89807,0.01259,0.4708,3.479973,,4041.0,-5.79799,0.02536,0.9508,3.9271003880314694
17,2.89807,0.01344,0.5027,3.482763,,4042.0,-5.79985,0.02706,1.0148,3.9377761416462507
18,2.89807,0.0143,0.5346,3.485243,,4043.0,-5.79799,0.02877,1.0789,3.906664420120966
19,2.89807,0.01514,0.5662,3.488033,,4044.0,-5.79799,0.03048,1.1429,3.9107975099514807
20,2.89807,0.016,0.5982,3.490203,,4046.0,-5.79799,0.03203,1.2009,3.9086748429360574
21,2.89993,0.01685,0.6301,3.492994,,4047.0,-5.79985,0.03386,1.2698,3.912554882374014
22,2.89807,0.01778,0.6647,3.495784,,4048.0,-5.80171,0.03557,1.3338,3.920498091573951
23,2.89993,0.01863,0.6966,3.498264,,4049.0,-5.79985,0.03728,1.3979,3.887036458269087
24,2.89621,0.01948,0.7285,3.500434,,4050.0,-5.79799,0.03887,1.4577,3.918081937673084
25,2.89807,0.02034,0.7605,3.502604,,4051.0,-5.79985,0.04056,1.5211,3.890890515945414
26,2.89807,0.02109,0.7885,3.504464,,4052.0,-5.79985,0.04227,1.5852,3.901316772917959
27,2.89807,0.02197,0.8216,3.506634,,4053.0,-5.79613,0.04398,1.6492,3.8897481151581914
28,2.89993,0.02282,0.8532,3.508805,,4054.0,-5.79799,0.04569,1.7132,3.903824778033357
29,2.89807,0.02357,0.8812,3.510665,,4055.0,-5.79985,0.04739,1.7772,3.893405215488699
30,2.89807,0.02442,0.9131,3.512525,,4056.0,-5.79985,0.0491,1.8413,3.8921554965653793
31,2.89993,0.02527,0.945,3.514695,,4057.0,-5.79985,0.05065,1.8993,3.890836599786651
32,2.89993,0.02613,0.9769,3.516245,,4058.0,-5.79985,0.05252,1.9693,3.883543373826373
34,2.89807,0.02697,1.0085,3.518105,,4059.0,-5.80171,0.05405,2.0267,3.8677347046105948
35,2.89807,0.02772,1.0365,3.519655,,4060.0,-5.80171,0.05574,2.0902,3.9014946942053013
36,2.89993,0.02857,1.0685,3.521515,,4061.0,-5.79985,0.05759,2.1596,3.879055753337543
37,2.89621,0.02943,1.1004,3.523066,,4062.0,-5.79985,0.0592,2.22,3.8835208590598844
38,2.89807,0.03027,1.132,3.524616,,4063.0,-5.79799,0.0607,2.2762,3.8859434715748877
