测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,1.449219,0.0,0.0,3.28714,,7136.0,-1.449219,0.0,0.0,4.070655448667095
2,1.448847,0.000805,0.0299,3.28714,,7139.0,-1.449219,0.001208,0.0454,4.05156859976596
3,1.449033,0.001207,0.0449,3.291481,,7140.0,-1.449405,0.00161,0.0605,4.046291860236333
4,1.448847,0.00161,0.0598,3.296131,,7141.0,-1.449405,0.002013,0.0756,4.061244756659918
5,1.448847,0.002012,0.0748,3.298921,,7142.0,-1.449405,0.002416,0.0907,4.0514929839093945
6,1.449033,0.002415,0.0898,3.302021,,7143.0,-1.449405,0.002818,0.1059,4.071299222775914
7,1.449033,0.002817,0.1047,3.305121,,7144.0,-1.449033,0.003221,0.121,4.045617403032153
8,1.449033,0.00322,0.1197,3.307602,,7145.0,-1.449033,0.003623,0.1361,4.059062174754853
9,1.448847,0.003622,0.1346,3.309772,,7146.0,-1.449219,0.004026,0.1512,4.052839449822683
10,1.448847,0.004025,0.1496,3.312872,,7147.0,-1.449219,0.004428,0.1664,4.03101453573709
11,1.448847,0.004427,0.1646,3.314422,,7148.0,-1.449219,0.004831,0.1815,4.049703689548975
12,1.449033,0.00483,0.1795,3.316902,,7149.0,-1.449219,0.005233,0.1966,4.03725293849586
13,1.449405,0.005232,0.1945,3.320003,,7150.0,-1.448847,0.005636,0.2117,4.065938067316733
14,1.449405,0.005635,0.2095,3.321863,,7151.0,-1.449219,0.006038,0.2268,4.033088932487578
15,1.448847,0.006037,0.2244,3.322793,,7152.0,-1.449033,0.006441,0.242,4.030828097741941
16,1.449405,0.00644,0.2394,3.325893,,7153.0,-1.449219,0.006843,0.2571,4.016062761592758
17,1.449033,0.006843,0.2543,3.328063,,7154.0,-1.449405,0.007246,0.2722,4.029917999143705
18,1.449219,0.007245,0.2693,3.329613,,7155.0,-1.449405,0.007649,0.2873,4.044529476341854
19,1.449219,0.007648,0.2843,3.332093,,7156.0,-1.449405,0.008051,0.3025,4.026021592051981
20,1.449033,0.00805,0.2992,3.333333,,7157.0,-1.448847,0.008454,0.3176,4.041485389785308
21,1.448847,0.008453,0.3142,3.333953,,7158.0,-1.449033,0.008856,0.3327,4.0373680020860645
22,1.449219,0.008855,0.3292,3.337984,,7159.0,-1.449033,0.009259,0.3478,4.023791794748729
23,1.449219,0.009258,0.3441,3.338604,,7160.0,-1.449033,0.009661,0.363,4.0314280621553795
24,1.449405,0.00966,0.3591,3.339534,,7161.0,-1.449033,0.010064,0.3781,4.0225825686341965
25,1.448847,0.010063,0.374,3.342014,,7162.0,-1.449405,0.010466,0.3932,4.03965752470428
26,1.448847,0.010465,0.389,3.343564,,7163.0,-1.449033,0.010869,0.4083,4.012228957394013
27,1.449033,0.010868,0.404,3.345734,,7164.0,-1.449219,0.011271,0.4234,4.0368894864898275
28,1.449033,0.01127,0.4189,3.347904,,7165.0,-1.449033,0.011674,0.4386,4.022299005705662
29,1.449033,0.011673,0.4339,3.348834,,7166.0,-1.449219,0.012077,0.4537,4.029443641648066
30,1.449405,0.012075,0.4489,3.350074,,7167.0,-1.449033,0.012479,0.4688,4.032316566081511
31,1.449033,0.012478,0.4638,3.353175,,7168.0,-1.449033,0.012882,0.4839,4.028759181574036
32,1.448847,0.01288,0.4788,3.354105,,7169.0,-1.449033,0.013284,0.499,4.047345573777179
33,1.448847,0.013283,0.4937,3.355655,,7170.0,-1.449033,0.013687,0.5142,4.021930495792023
34,1.448847,0.013685,0.5087,3.357825,,7171.0,-1.449033,0.014089,0.5293,4.011801135763497
35,1.448847,0.014088,0.5237,3.359065,,7172.0,-1.449219,0.014492,0.5444,4.045355387896962
36,1.448847,0.01449,0.5386,3.360305,,7173.0,-1.449219,0.014894,0.5595,4.026102199825505
37,1.449219,0.014893,0.5536,3.362785,,7174.0,-1.449219,0.015297,0.5747,4.023620270304771
38,1.448847,0.015295,0.5685,3.364025,,7175.0,-1.449219,0.015699,0.5898,4.044203381148818
39,1.448847,0.015698,0.5835,3.364645,,7176.0,-1.448847,0.016102,0.6049,4.008101962226345
40,1.449219,0.0161,0.5985,3.366505,,7177.0,-1.448847,0.016504,0.62,4.020054602851621
41,1.449219,0.016503,0.6134,3.367746,,7178.0,-1.448847,0.016907,0.6351,4.0100431335278905
42,1.449033,0.016905,0.6284,3.368986,,7179.0,-1.448847,0.017309,0.6503,4.0188864610367405
43,1.449219,0.017308,0.6434,3.369606,,7180.0,-1.448847,0.017712,0.6654,4.004741298890529
44,1.449219,0.01771,0.6583,3.372086,,7181.0,-1.448847,0.018114,0.6805,4.019970012542588
45,1.449405,0.018113,0.6733,3.373326,,7182.0,-1.448847,0.018517,0.6956,4.018939599700707
46,1.449405,0.018516,0.6883,3.374256,,7183.0,-1.448847,0.018919,0.7107,4.017191875741491
47,1.449219,0.018918,0.7032,3.374876,,7184.0,-1.448847,0.019321,0.7259,3.9945449864771283
48,1.449033,0.019321,0.7182,3.377356,,7185.0,-1.449405,0.019724,0.741,4.024920850627809
49,1.449219,0.019723,0.7331,3.379216,,7186.0,-1.448847,0.020127,0.7561,4.014014132429933
50,1.449219,0.020126,0.7481,3.379526,,7187.0,-1.448847,0.020529,0.7712,4.042610605575646
51,1.448847,0.020528,0.7631,3.380456,,7188.0,-1.449405,0.020932,0.7863,4.01132600429087
52,1.449219,0.020931,0.778,3.381387,,7189.0,-1.449405,0.021334,0.8015,4.008748695407259
53,1.448847,0.021333,0.793,3.383246,,7190.0,-1.449405,0.021737,0.8166,4.0161095972233305
54,1.448847,0.021736,0.8079,3.384487,,7191.0,-1.449405,0.022139,0.8317,4.001233421583983
55,1.449405,0.022138,0.8229,3.384487,,7192.0,-1.449033,0.022542,0.8468,4.025214374369313
56,1.449219,0.022541,0.8379,3.387897,,7193.0,-1.449405,0.022945,0.862,4.003316691538522
57,1.449219,0.022944,0.8528,3.390067,,7194.0,-1.449219,0.023347,0.8771,4.0043970211488995
58,1.448847,0.023346,0.8678,3.390067,,7195.0,-1.449219,0.02375,0.8922,4.02110152341795
59,1.449219,0.023749,0.8828,3.391617,,7196.0,-1.449219,0.024152,0.9073,4.015325460293067
60,1.449219,0.024151,0.8977,3.392547,,7197.0,-1.449219,0.024555,0.9225,4.015134286965378
61,1.449405,0.024554,0.9127,3.395027,,7198.0,-1.449219,0.024957,0.9376,3.9992994981049867
62,1.448847,0.024956,0.9277,3.397197,,7199.0,-1.449219,0.02536,0.9527,4.021990139354273
63,1.448847,0.025359,0.9426,3.400298,,7200.0,-1.449033,0.025762,0.9678,4.001964267828616
64,1.449033,0.025761,0.9576,3.400298,,7201.0,-1.449405,0.026165,0.983,3.9947165480851132
65,1.449219,0.026164,0.9725,3.400608,,7202.0,-1.449405,0.026568,0.9981,4.015043778326982
66,1.449405,0.026566,0.9875,3.401848,,7203.0,-1.449405,0.02697,1.0132,4.008268199242164
67,1.449033,0.026969,1.0025,3.405568,,7204.0,-1.448847,0.027373,1.0283,4.0074051823945105
68,1.448847,0.027371,1.0174,3.406188,,7205.0,-1.448847,0.027775,1.0434,4.016488424443265
69,1.449033,0.027774,1.0324,3.405878,,7206.0,-1.448847,0.028178,1.0586,4.006289944443759
70,1.449033,0.028176,1.0474,3.408978,,7207.0,-1.448847,0.02858,1.0737,3.9919949552660814
71,1.449219,0.028579,1.0623,3.407118,,7208.0,-1.448847,0.028983,1.0888,4.005469938865183
72,1.449219,0.028981,1.0773,3.406808,,7209.0,-1.448847,0.029385,1.1039,4.0117456342391655
73,1.449033,0.029384,1.0922,3.408978,,7210.0,-1.448847,0.029787,1.119,4.009099446517619
74,1.449033,0.029786,1.1072,3.412699,,7211.0,-1.449405,0.03019,1.1342,4.005526127243144
75,1.449219,0.030189,1.1222,3.413008,,7212.0,-1.449405,0.030593,1.1493,4.031427455727975
76,1.449219,0.030592,1.1371,3.414559,,7213.0,-1.449405,0.030995,1.1644,4.02391356527249
77,1.448847,0.030994,1.1521,3.414248,,7214.0,-1.449405,0.031398,1.1795,3.994377995500642
78,1.448847,0.031396,1.167,3.415799,,7215.0,-1.449405,0.031801,1.1947,3.99238198184178
79,1.449405,0.031799,1.182,3.421069,,7216.0,-1.449405,0.032203,1.2098,4.019336272455005
80,1.449219,0.032202,1.197,3.420449,,7217.0,-1.449405,0.032606,1.2249,4.016729763617165
81,1.449033,0.032604,1.2119,3.421999,,7218.0,-1.448847,0.033008,1.24,4.020871311574119
82,1.449033,0.033007,1.2269,3.421069,,7219.0,-1.448847,0.033411,1.2552,4.001324370976148
83,1.449033,0.033409,1.2419,3.425409,,7220.0,-1.448847,0.033813,1.2703,4.00354341035688
84,1.448847,0.033812,1.2568,3.426029,,7221.0,-1.448847,0.034216,1.2854,3.9873642122415998
85,1.449219,0.034214,1.2718,3.426339,,7222.0,-1.449033,0.034618,1.3005,4.0065862870185605
86,1.449405,0.034617,1.2868,3.427889,,7223.0,-1.448847,0.035021,1.3156,3.9990686965696938
87,1.449219,0.035019,1.3017,3.429749,,7224.0,-1.449033,0.035423,1.3308,3.9976495614619765
