测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,4.05909,0.0,0.0,3.461061,,3211.0,-4.05909,0.0,0.0,4.058240245392062
6,4.05909,0.006765,0.2558,3.461061,,3218.0,-4.05909,0.007893,0.3036,3.8797375321189174
7,4.05909,0.007893,0.2984,3.461061,,3219.0,-4.05909,0.00902,0.3469,4.008033911475651
8,4.05909,0.00902,0.3411,3.461061,,3220.0,-4.05909,0.010148,0.3903,3.922918822188479
9,4.05909,0.010148,0.3837,3.461061,,3221.0,-4.05909,0.011275,0.4337,4.015271932040731
10,4.05909,0.011275,0.4263,3.461061,,3222.0,-4.05909,0.012403,0.477,3.9579810405886127
11,4.05971,0.012403,0.469,3.474702,,3223.0,-4.05909,0.01353,0.5204,4.059158695300901
12,4.05971,0.013531,0.5116,3.474702,,3224.0,-4.05909,0.014658,0.5637,4.126989337017359
13,4.05971,0.014658,0.5542,3.486793,,3225.0,-4.05909,0.015785,0.6071,3.966221346733379
14,4.05971,0.015786,0.5969,3.486793,,3226.0,-4.05909,0.016913,0.6505,4.102025580486411
15,4.05909,0.016914,0.6395,3.486793,,3227.0,-4.05909,0.01804,0.6938,4.104387996879671
16,4.05909,0.018041,0.6822,3.497024,,3228.0,-4.05909,0.019168,0.7372,3.9248870465454724
17,4.05909,0.019169,0.7248,3.497024,,3229.0,-4.05909,0.020295,0.7806,4.086585440238416
18,4.05909,0.020296,0.7674,3.507254,,3230.0,-4.05909,0.021423,0.8239,4.082775930980333
19,4.05909,0.021424,0.8101,3.507254,,3231.0,-4.05909,0.02255,0.8673,3.880043404713376
20,4.0594,0.022551,0.8527,3.517175,,3232.0,-4.05909,0.023678,0.9107,4.108774419643939
21,4.0594,0.023679,0.8953,3.517175,,3233.0,-4.05909,0.024806,0.954,4.013417739809692
22,4.0594,0.024806,0.938,3.524926,,3234.0,-4.05909,0.025933,0.9974,3.8520876098825223
23,4.0594,0.025934,0.9806,3.524926,,3235.0,-4.05909,0.027061,1.0408,3.969355836128601
24,4.0594,0.027062,1.0232,3.524926,,3236.0,-4.05909,0.028188,1.0841,3.9156863573867584
25,4.0594,0.028189,1.0659,3.533606,,3237.0,-4.05909,0.029316,1.1275,3.969339495448256
26,4.05909,0.029317,1.1085,3.533606,,3238.0,-4.05909,0.030443,1.1709,4.13321885680486
27,4.05909,0.030444,1.1511,3.541977,,3239.0,-4.05909,0.031571,1.2142,4.177505853527612
28,4.05909,0.031572,1.1938,3.541977,,3240.0,-4.05909,0.032698,1.2576,3.8955709552276723
29,4.0594,0.0327,1.2364,3.547557,,3241.0,-4.05909,0.033826,1.301,4.0609372314848295
30,4.0594,0.033827,1.279,3.547557,,3242.0,-4.05909,0.034953,1.3443,3.9340322029282744
31,4.05909,0.034955,1.3217,3.554997,,3243.0,-4.05909,0.036081,1.3877,3.9611463522977264
32,4.05909,0.036082,1.3643,3.554997,,3244.0,-4.05909,0.037208,1.4311,4.088540422451915
33,4.05971,0.03721,1.4069,3.561818,,3245.0,-4.05909,0.038336,1.4744,3.9367423732200004
34,4.05971,0.038338,1.4496,3.561818,,3246.0,-4.05909,0.039463,1.5178,3.8371168487776086
35,4.05971,0.039465,1.4922,3.561818,,3247.0,-4.05909,0.040591,1.5611,4.049682157076454
36,4.0594,0.040593,1.5349,3.567398,,3248.0,-4.05909,0.041718,1.6045,4.033866429549537
37,4.0594,0.04172,1.5775,3.567398,,3249.0,-4.05909,0.042846,1.6479,4.071087263962275
38,4.05971,0.042848,1.6201,3.573289,,3250.0,-4.05909,0.043973,1.6912,3.9770868135714705
39,4.05971,0.043976,1.6628,3.573289,,3251.0,-4.05909,0.045101,1.7346,3.8358953540384526
40,4.0594,0.045103,1.7054,3.578559,,3252.0,-4.05909,0.046229,1.778,3.991952023159096
41,4.0594,0.046231,1.748,3.578559,,3253.0,-4.05909,0.047356,1.8213,4.041865634717801
42,4.0594,0.047359,1.7907,3.578559,,3254.0,-4.05909,0.048484,1.8647,4.0362140439013565
43,4.0594,0.048486,1.8333,3.584759,,3255.0,-4.05909,0.049611,1.9081,3.821867585750702
44,4.0594,0.049614,1.876,3.584759,,3256.0,-4.05909,0.050739,1.9514,3.875451500353955
45,4.0594,0.050742,1.9186,3.58848,,3257.0,-4.05909,0.051866,1.9948,4.098088935258293
46,4.0594,0.051869,1.9612,3.58848,,3258.0,-4.05909,0.052994,2.0382,3.7997250854607167
47,4.0594,0.052997,2.0039,3.59375,,3259.0,-4.05909,0.054121,2.0815,4.0717300409702695
48,4.0594,0.054124,2.0465,3.59375,,3260.0,-4.05909,0.055249,2.1249,3.7367626055850742
49,4.05909,0.055252,2.0891,3.59778,,3261.0,-4.05909,0.056376,2.1683,4.020840058416816
50,4.05909,0.056379,2.1318,3.59778,,3262.0,-4.05909,0.057504,2.2116,3.89091678659059
51,4.05909,0.057507,2.1744,3.59778,,3263.0,-4.05909,0.058631,2.255,3.9905195829194167
52,4.05909,0.058634,2.217,3.602431,,3264.0,-4.05909,0.059759,2.2984,3.9480598341424193
53,4.05909,0.059762,2.2597,3.602431,,3265.0,-4.05909,0.060886,2.3417,3.8768164600912884
54,4.05909,0.06089,2.3023,3.607081,,3266.0,-4.05909,0.062014,2.3851,3.9897879683131228
55,4.05909,0.062017,2.3449,3.607081,,3267.0,-4.05909,0.063141,2.4285,3.8722085248721845
56,4.05909,0.063145,2.3876,3.612351,,3268.0,-4.05909,0.064269,2.4718,3.9676805059876985
57,4.05909,0.064272,2.4302,3.612351,,3269.0,-4.05909,0.065396,2.5152,3.8346707134627094
58,4.05909,0.0654,2.4728,3.612351,,3270.0,-4.05909,0.066524,2.5585,4.104988680701342
59,4.05909,0.066527,2.5155,3.616071,,3271.0,-4.05909,0.067651,2.6019,3.9515419717560456
