测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,2.899306,0.0,0.0,3.394407,,3927.0,-4.349268,0.0,0.0,4.049143994165837
4,2.899306,0.003221,0.1231,3.394407,,3933.0,-4.349268,0.007249,0.2773,3.919138864016032
5,2.899306,0.004027,0.1539,3.394407,,3934.0,-4.349268,0.008457,0.3235,3.9082879524960656
6,2.899306,0.004832,0.1847,3.399678,,3935.0,-4.349268,0.009665,0.3697,4.150031712787477
7,2.899306,0.005638,0.2155,3.405568,,3936.0,-4.349268,0.010873,0.4159,4.079455782893576
8,2.899306,0.006443,0.2463,3.409908,,3937.0,-4.349268,0.012081,0.4621,3.933515686663066
9,2.899306,0.007248,0.277,3.413629,,3938.0,-4.349268,0.013289,0.5084,3.9150306901976943
10,2.899306,0.008054,0.3078,3.413629,,3939.0,-4.348958,0.014497,0.5546,3.9840145521990924
11,2.899306,0.008859,0.3386,3.418279,,3940.0,-4.348958,0.015706,0.6008,4.0919114200401205
12,2.899306,0.009664,0.3694,3.423549,,3941.0,-4.348958,0.016914,0.647,4.054488465149362
13,2.898996,0.01047,0.4002,3.427269,,3942.0,-4.348958,0.018122,0.6932,3.939083913175328
14,2.898996,0.011275,0.431,3.4313,,3943.0,-4.348958,0.01933,0.7394,3.975549354403823
15,2.898996,0.01208,0.4617,3.43471,,3944.0,-4.348958,0.020538,0.7856,3.8451085690951
16,2.900236,0.012886,0.4925,3.43843,,3945.0,-4.348958,0.021746,0.8318,3.9802580429328605
17,2.900236,0.013691,0.5233,3.44277,,3946.0,-4.348958,0.022954,0.878,3.874332366266546
18,2.899926,0.014497,0.5541,3.447111,,3947.0,-4.348958,0.024162,0.9242,4.135267316867823
19,2.899926,0.015302,0.5849,3.447111,,3948.0,-4.348958,0.02537,0.9705,3.9668013802785573
20,2.899616,0.016108,0.6157,3.449591,,3949.0,-4.348958,0.026578,1.0167,3.989860789065956
21,2.899926,0.016913,0.6465,3.451761,,3950.0,-4.348958,0.027786,1.0629,4.158902065928057
22,2.899926,0.017719,0.6773,3.456411,,3951.0,-4.348958,0.028994,1.1091,3.8937604808128987
23,2.899926,0.018525,0.7081,3.456411,,3952.0,-4.348958,0.030202,1.1553,3.879869740066476
24,2.899926,0.01933,0.7388,3.457961,,3953.0,-4.348958,0.03141,1.2015,3.882479871457467
25,2.899926,0.020136,0.7696,3.462301,,3954.0,-4.348958,0.032618,1.2477,3.975971899975069
26,2.899926,0.020941,0.8004,3.462301,,3955.0,-4.348958,0.033826,1.2939,4.0087660538353616
27,2.899926,0.021747,0.8312,3.466642,,3956.0,-4.348958,0.035034,1.3401,3.772892006421332
28,2.899926,0.022552,0.862,3.470052,,3957.0,-4.348958,0.036242,1.3864,3.8943620976396085
29,2.899926,0.023358,0.8928,3.470052,,3958.0,-4.348958,0.03745,1.4326,4.118003974619895
30,2.899926,0.024163,0.9236,3.474082,,3959.0,-4.348958,0.038658,1.4788,4.0399025790454735
31,2.899616,0.024969,0.9544,3.476872,,3960.0,-4.348958,0.039866,1.525,3.8024996895837804
32,2.899616,0.025774,0.9852,3.476872,,3961.0,-4.348958,0.041074,1.5712,4.026318108501419
33,2.899306,0.02658,1.0159,3.480903,,3962.0,-4.348958,0.042282,1.6174,3.9181284841968673
34,2.899306,0.027385,1.0467,3.483693,,3963.0,-4.349268,0.043491,1.6636,3.931223708137221
35,2.899306,0.02819,1.0775,3.483693,,3964.0,-4.349268,0.044699,1.7098,3.9747390238416402
36,2.899926,0.028996,1.1083,3.487723,,3965.0,-4.349268,0.045907,1.7561,3.9846411772423895
37,2.899926,0.029801,1.1391,3.489893,,3966.0,-4.349268,0.047115,1.8023,3.981249842461255
38,2.899926,0.030607,1.1699,3.489893,,3967.0,-4.349268,0.048323,1.8485,4.030675508804294
39,2.899926,0.031412,1.2007,3.493304,,3968.0,-4.349268,0.049531,1.8947,3.928433021038023
40,2.899926,0.032218,1.2314,3.496094,,3969.0,-4.348958,0.050739,1.9409,4.016153776034907
41,2.899926,0.033023,1.2622,3.496094,,3970.0,-4.348958,0.051947,1.9871,4.058278728384396
42,2.899616,0.033829,1.293,3.498574,,3971.0,-4.348958,0.053155,2.0333,3.8377006050317903
43,2.899926,0.034634,1.3238,3.501364,,3972.0,-4.348958,0.054363,2.0795,3.9507857258977177
44,2.899926,0.03544,1.3546,3.501364,,3973.0,-4.348958,0.055571,2.1257,3.8040228963500833
45,2.899306,0.036245,1.3854,3.504154,,3974.0,-4.348958,0.05678,2.172,3.962409653911804
46,2.899306,0.037051,1.4162,3.504154,,3975.0,-4.348958,0.057988,2.2182,3.856755776858078
47,2.899306,0.037856,1.447,3.507254,,3976.0,-4.348958,0.059196,2.2644,3.8063577187446875
48,2.899306,0.038661,1.4777,3.507254,,3977.0,-4.348958,0.060404,2.3106,4.02065889331183
49,2.899306,0.039467,1.5085,3.510665,,3978.0,-4.348958,0.061612,2.3568,3.9451905495997037
50,2.899306,0.040272,1.5393,3.510665,,3979.0,-4.348958,0.06282,2.403,3.950610476807493
51,2.899616,0.041078,1.5701,3.513765,,3980.0,-4.348958,0.064028,2.4492,3.9765600908562897
52,2.899616,0.041883,1.6009,3.513765,,3981.0,-4.348958,0.065236,2.4954,3.8062175768415543
53,2.899926,0.042689,1.6317,3.516555,,3982.0,-4.348958,0.066444,2.5416,3.9811978421923264
54,2.899926,0.043494,1.6625,3.516555,,3983.0,-4.348958,0.067652,2.5879,3.7125796923549967
55,2.899926,0.0443,1.6932,3.519345,,3984.0,-4.348958,0.06886,2.6341,3.9374228222831573
56,2.899926,0.045105,1.724,3.523066,,3985.0,-4.348958,0.070068,2.6803,3.9506218519442657
57,2.899926,0.045911,1.7548,3.523066,,3986.0,-4.348958,0.071276,2.7265,4.004380651110523
58,2.899926,0.046716,1.7856,3.524926,,3987.0,-4.348958,0.072484,2.7727,3.9618603598684015
59,2.899926,0.047522,1.8164,3.524926,,3988.0,-4.348958,0.073692,2.8189,4.034240580752081
60,2.899926,0.048327,1.8472,3.528336,,3989.0,-4.348958,0.0749,2.8651,4.011834118114583
61,2.899926,0.049133,1.878,3.528336,,3990.0,-4.348958,0.076108,2.9113,3.8095672901070206
62,2.899616,0.049938,1.9088,3.529886,,3991.0,-4.348958,0.077316,2.9575,4.046162436492299
63,2.899616,0.050744,1.9395,3.529886,,3992.0,-4.348958,0.078524,3.0037,3.9728305793711596
64,2.899616,0.051549,1.9703,3.533296,,3993.0,-4.348958,0.079732,3.05,3.880651048769646
65,2.899616,0.052355,2.0011,3.533296,,3994.0,-4.348958,0.08094,3.0962,3.919649975118258
66,2.899616,0.05316,2.0319,3.534536,,3995.0,-4.348958,0.082148,3.1424,3.9877493711920957
67,2.899616,0.053966,2.0627,3.534536,,3996.0,-4.348958,0.083356,3.1886,3.899425548346199
68,2.899926,0.054771,2.0935,3.537016,,3997.0,-4.348958,0.084565,3.2348,3.9041950316501395
69,2.899926,0.055577,2.1243,3.537016,,3998.0,-4.348958,0.085773,3.281,3.863733499760322
70,2.899926,0.056382,2.1551,3.538256,,3999.0,-4.348958,0.086981,3.3272,3.9306361395350207
71,2.899926,0.057188,2.1859,3.538256,,4000.0,-4.348958,0.088189,3.3734,3.8793162079562906
