测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,2.029204,0.0,0.0,3.267609,,5770.0,-2.029204,0.0,0.0,4.0847623264754755
6,2.029204,0.003382,0.1154,3.267609,,5774.0,-2.029204,0.002255,0.0879,3.9838355765019036
7,2.029204,0.003946,0.1346,3.267609,,5775.0,-2.029204,0.002818,0.1099,4.199263326233346
8,2.029204,0.004509,0.1538,3.267609,,5776.0,-2.029204,0.003382,0.1319,4.182610807162083
9,2.029204,0.005073,0.173,3.267609,,5777.0,-2.028832,0.003946,0.1539,4.189224730392274
10,2.028832,0.005637,0.1923,3.27474,,5778.0,-2.028832,0.004509,0.1758,4.06836872514835
11,2.028832,0.0062,0.2115,3.27474,,5779.0,-2.028832,0.005073,0.1978,4.072929905548603
12,2.028832,0.006764,0.2307,3.28125,,5780.0,-2.028832,0.005636,0.2198,4.0512452456128285
13,2.028832,0.007327,0.2499,3.28125,,5781.0,-2.028832,0.0062,0.2418,4.036720561007371
14,2.029018,0.007891,0.2692,3.2859,,5782.0,-2.028832,0.006763,0.2637,4.138004049042139
15,2.029018,0.008454,0.2884,3.2859,,5783.0,-2.028832,0.007327,0.2857,3.8863479172363036
16,2.029018,0.009018,0.3076,3.293341,,5784.0,-2.029204,0.007891,0.3077,4.149973324134475
17,2.029018,0.009582,0.3269,3.293341,,5785.0,-2.028832,0.008454,0.3297,4.176466823693918
18,2.029018,0.010145,0.3461,3.298921,,5786.0,-2.029204,0.009018,0.3516,3.9958674315478904
19,2.028832,0.010709,0.3653,3.298921,,5787.0,-2.028832,0.009581,0.3736,3.963847703986265
20,2.028832,0.011272,0.3845,3.303262,,5788.0,-2.028832,0.010145,0.3956,4.168063036254605
21,2.028832,0.011836,0.4037,3.307912,,5789.0,-2.028832,0.010709,0.4176,4.006368590170238
22,2.028832,0.0124,0.423,3.307912,,5790.0,-2.028832,0.011272,0.4395,4.214972851231273
23,2.028832,0.012963,0.4422,3.311942,,5791.0,-2.029204,0.011836,0.4615,3.9756800477756236
24,2.028832,0.013527,0.4614,3.311942,,5792.0,-2.02939,0.0124,0.4835,4.145311607923172
25,2.028832,0.01409,0.4806,3.316282,,5793.0,-2.02939,0.012963,0.5055,4.115253030529293
26,2.028832,0.014654,0.4999,3.316282,,5794.0,-2.02939,0.013527,0.5275,3.8228954178596974
27,2.028832,0.015217,0.5191,3.321243,,5795.0,-2.029204,0.014091,0.5495,3.9221691383286172
28,2.028832,0.015781,0.5383,3.321243,,5796.0,-2.028832,0.014654,0.5714,4.200028863557183
29,2.028832,0.016345,0.5575,3.325273,,5797.0,-2.028832,0.015218,0.5934,4.13942926256754
30,2.028832,0.016908,0.5768,3.328683,,5798.0,-2.029204,0.015781,0.6154,4.154708135769467
31,2.028832,0.017472,0.596,3.328683,,5799.0,-2.02939,0.016345,0.6374,3.8905561970764295
32,2.028832,0.018035,0.6152,3.333023,,5800.0,-2.029204,0.016909,0.6593,4.147954824432535
33,2.028832,0.018599,0.6344,3.333023,,5801.0,-2.029018,0.017472,0.6813,4.050514074743167
34,2.029018,0.019162,0.6537,3.335504,,5802.0,-2.029018,0.018036,0.7033,4.055125256257352
35,2.029018,0.019726,0.6729,3.335504,,5803.0,-2.029018,0.0186,0.7253,4.2199959458115925
36,2.028832,0.02029,0.6921,3.340464,,5804.0,-2.029018,0.019163,0.7473,4.207623230325347
37,2.028832,0.020853,0.7113,3.340464,,5805.0,-2.029018,0.019727,0.7692,4.0923268750744
38,2.028832,0.021417,0.7306,3.343564,,5806.0,-2.028832,0.02029,0.7912,4.098405269766716
39,2.028832,0.02198,0.7498,3.343564,,5807.0,-2.028832,0.020854,0.8132,4.232565101375019
40,2.028832,0.022544,0.769,3.348524,,5808.0,-2.029204,0.021418,0.8352,4.2032414711242225
41,2.028832,0.023107,0.7882,3.350384,,5809.0,-2.029204,0.021981,0.8571,3.9477173439184776
42,2.028832,0.023671,0.8075,3.350384,,5810.0,-2.029204,0.022545,0.8791,4.123018508582387
43,2.029204,0.024235,0.8267,3.355035,,5811.0,-2.028832,0.023109,0.9011,4.094621297926971
44,2.029204,0.024798,0.8459,3.355035,,5812.0,-2.028832,0.023672,0.9231,3.9481121563920762
45,2.02939,0.025362,0.8651,3.357825,,5813.0,-2.028832,0.024236,0.9451,4.011663158743025
46,2.02939,0.025926,0.8844,3.357825,,5814.0,-2.028832,0.024799,0.967,3.88464408829205
47,2.029204,0.026489,0.9036,3.360925,,5815.0,-2.029018,0.025363,0.989,3.9264443548322463
48,2.029204,0.027053,0.9228,3.360925,,5816.0,-2.029018,0.025926,1.011,4.062158814147475
49,2.02939,0.027617,0.9421,3.363715,,5817.0,-2.029018,0.02649,1.033,4.047502935038981
50,2.02939,0.028181,0.9613,3.363715,,5818.0,-2.029018,0.027054,1.0549,4.171965212646246
51,2.028832,0.028744,0.9805,3.367126,,5819.0,-2.029018,0.027617,1.0769,4.059188400808919
52,2.02939,0.029308,0.9997,3.370846,,5820.0,-2.028832,0.028181,1.0989,4.082071793538105
53,2.02939,0.029872,1.019,3.370846,,5821.0,-2.028832,0.028744,1.1209,4.054604817770685
54,2.028832,0.030435,1.0382,3.372706,,5822.0,-2.028832,0.029308,1.1428,3.8759056031238157
55,2.028832,0.030999,1.0574,3.372706,,5823.0,-2.028832,0.029872,1.1648,4.151368220379359
56,2.028832,0.031562,1.0766,3.375806,,5824.0,-2.028832,0.030435,1.1868,4.130756794021052
57,2.028832,0.032126,1.0959,3.376426,,5825.0,-2.029204,0.030999,1.2088,3.921186163052978
58,2.028832,0.032689,1.1151,3.376426,,5826.0,-2.028832,0.031562,1.2308,4.095905567511563
59,2.028832,0.033253,1.1343,3.380146,,5827.0,-2.028832,0.032126,1.2527,4.080344993702676
60,2.028832,0.033817,1.1535,3.381387,,5828.0,-2.028832,0.03269,1.2747,3.955981547089981
61,2.029204,0.03438,1.1728,3.381387,,5829.0,-2.029204,0.033253,1.2967,4.141710010546463
62,2.029204,0.034944,1.192,3.382936,,5830.0,-2.029204,0.033817,1.3187,4.061663149668308
63,2.029204,0.035508,1.2112,3.386657,,5831.0,-2.029204,0.034381,1.3406,3.9651763015193207
64,2.029204,0.036071,1.2305,3.386657,,5832.0,-2.029204,0.034944,1.3626,3.925817762124957
65,2.02939,0.036635,1.2497,3.386967,,5833.0,-2.028832,0.035508,1.3846,3.857344206373793
66,2.02939,0.037199,1.2689,3.391307,,5834.0,-2.028832,0.036071,1.4066,4.070135235919627
67,2.02939,0.037762,1.2881,3.392237,,5835.0,-2.028832,0.036635,1.4285,4.135571217822702
68,2.02939,0.038326,1.3074,3.392237,,5836.0,-2.028832,0.037198,1.4505,4.043144316195056
69,2.029204,0.03889,1.3266,3.394097,,5837.0,-2.028832,0.037762,1.4725,4.127369002002231
70,2.029204,0.039453,1.3458,3.396267,,5838.0,-2.028832,0.038326,1.4945,4.0366392304246945
71,2.029018,0.040017,1.3651,3.396267,,5839.0,-2.028832,0.038889,1.5165,4.122075878755312
72,2.029018,0.040581,1.3843,3.399368,,5840.0,-2.028832,0.039453,1.5384,4.245063733304045
73,2.028832,0.041144,1.4035,3.400918,,5841.0,-2.028832,0.040016,1.5604,3.9939692622920067
74,2.028832,0.041708,1.4227,3.400918,,5842.0,-2.028832,0.04058,1.5824,4.161541558796442
75,2.028832,0.042271,1.442,3.402468,,5843.0,-2.029018,0.041143,1.6044,4.14924445917141
76,2.028832,0.042835,1.4612,3.403088,,5844.0,-2.029018,0.041707,1.6263,4.270945712543474
77,2.028832,0.043398,1.4804,3.403088,,5845.0,-2.029018,0.042271,1.6483,4.0706522213278955
78,2.029018,0.043962,1.4996,3.406498,,5846.0,-2.029018,0.042834,1.6703,4.076289038156862
79,2.02939,0.044526,1.5189,3.408048,,5847.0,-2.029018,0.043398,1.6923,3.948585639904098
80,2.02939,0.045089,1.5381,3.408048,,5848.0,-2.029018,0.043962,1.7142,3.83968433113397
81,2.029018,0.045653,1.5573,3.408668,,5849.0,-2.029018,0.044525,1.7362,3.7918417422865534
82,2.02939,0.046217,1.5765,3.411768,,5850.0,-2.029018,0.045089,1.7582,3.991843389045808
83,2.02939,0.046781,1.5958,3.411768,,5851.0,-2.029018,0.045652,1.7802,3.9618267861882956
84,2.02939,0.047344,1.615,3.413008,,5852.0,-2.029018,0.046216,1.8022,4.084674269516005
85,2.02939,0.047908,1.6342,3.414869,,5853.0,-2.028832,0.04678,1.8241,4.215920399960672
86,2.02939,0.048472,1.6535,3.414869,,5854.0,-2.028832,0.047343,1.8461,3.9612511203329905
87,2.02939,0.049035,1.6727,3.417349,,5855.0,-2.028832,0.047907,1.8681,4.026281793078367
88,2.028832,0.049599,1.6919,3.417969,,5856.0,-2.029204,0.04847,1.8901,4.0078119888028985
89,2.02939,0.050163,1.7111,3.417969,,5857.0,-2.02939,0.049034,1.912,4.078372741202908
90,2.02939,0.050726,1.7304,3.419209,,5858.0,-2.02939,0.049598,1.934,4.131137355730573
91,2.029018,0.05129,1.7496,3.422309,,5859.0,-2.028832,0.050161,1.956,4.2304204228355635
92,2.029018,0.051854,1.7688,3.423239,,5860.0,-2.028832,0.050725,1.978,4.1013899614299625
93,2.028832,0.052417,1.788,3.426339,,5861.0,-2.028832,0.051288,2.0,4.14541828398069
94,2.028832,0.052981,1.8073,3.426339,,5862.0,-2.029204,0.051852,2.0219,3.983191615419536
95,2.028832,0.053544,1.8265,3.427269,,5863.0,-2.029204,0.052416,2.0439,4.079214544327923
96,2.028832,0.054108,1.8457,3.428199,,5864.0,-2.029204,0.05298,2.0659,4.076792961017336
97,2.028832,0.054671,1.8649,3.428199,,5865.0,-2.029204,0.053543,2.0879,4.113457963228596
