测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,1.739211,0.0,0.0,3.324963,,6002.0,-1.738839,0.0,0.0,4.1503804268362146
3,1.739211,0.001449,0.0551,3.324963,,6008.0,-1.738839,0.002898,0.1106,4.0103006055802135
4,1.739211,0.001932,0.0734,3.324963,,6009.0,-1.738839,0.003381,0.1291,3.9963180157035554
5,1.739025,0.002416,0.0918,3.333643,,6010.0,-1.738839,0.003864,0.1475,3.859854993498526
6,1.739025,0.002899,0.1101,3.336123,,6011.0,-1.738839,0.004347,0.166,3.734866244616914
7,1.739025,0.003382,0.1285,3.340154,,6012.0,-1.739025,0.00483,0.1844,4.116955452622306
8,1.739211,0.003865,0.1468,3.342944,,6013.0,-1.739025,0.005313,0.2028,4.323177075271091
9,1.739211,0.004348,0.1652,3.344804,,6014.0,-1.739025,0.005796,0.2213,3.940542861460081
10,1.739211,0.004831,0.1835,3.347594,,6015.0,-1.739025,0.006279,0.2397,4.117695879502115
11,1.739211,0.005314,0.2019,3.352555,,6016.0,-1.738839,0.006762,0.2582,4.001778726192115
12,1.739211,0.005797,0.2203,3.354415,,6017.0,-1.738839,0.007245,0.2766,4.001825199408666
13,1.739211,0.00628,0.2386,3.358755,,6018.0,-1.738839,0.007728,0.295,4.0915703268479175
14,1.739211,0.006763,0.257,3.359685,,6019.0,-1.738839,0.008211,0.3135,4.054540138229218
15,1.739211,0.007247,0.2753,3.362785,,6020.0,-1.738839,0.008694,0.3319,4.204625113439338
16,1.739211,0.00773,0.2937,3.365265,,6021.0,-1.738839,0.009177,0.3504,3.9968496809315814
17,1.739211,0.008213,0.312,3.368676,,6022.0,-1.738839,0.00966,0.3688,3.8876103479249546
18,1.739211,0.008696,0.3304,3.369916,,6023.0,-1.738839,0.010143,0.3872,3.9679894310860235
19,1.739211,0.009179,0.3487,3.373326,,6024.0,-1.738839,0.010626,0.4057,4.096100383844348
20,1.739211,0.009662,0.3671,3.374566,,6025.0,-1.738839,0.011109,0.4241,4.0462369595767145
21,1.739211,0.010145,0.3855,3.374876,,6026.0,-1.738839,0.011592,0.4426,4.087587577244591
22,1.739211,0.010628,0.4038,3.379526,,6027.0,-1.738839,0.012075,0.461,4.115461545869665
23,1.739211,0.011111,0.4222,3.381387,,6028.0,-1.739025,0.012559,0.4794,4.1076975822227375
24,1.739211,0.011595,0.4405,3.382627,,6029.0,-1.739025,0.013042,0.4979,4.007767863735333
25,1.739211,0.012078,0.4589,3.384487,,6030.0,-1.739025,0.013525,0.5163,4.221048676370745
26,1.739211,0.012561,0.4772,3.388207,,6031.0,-1.738839,0.014008,0.5348,3.959953804184103
27,1.739211,0.013044,0.4956,3.389447,,6032.0,-1.738839,0.014491,0.5532,4.028270281167745
28,1.739211,0.013527,0.5139,3.391617,,6033.0,-1.738839,0.014974,0.5716,3.980986252325783
29,1.739211,0.01401,0.5323,3.393787,,6034.0,-1.739211,0.015457,0.5901,4.051744830834344
30,1.739211,0.014493,0.5507,3.395027,,6035.0,-1.739211,0.01594,0.6085,3.8571671880425242
31,1.739211,0.014976,0.569,3.396577,,6036.0,-1.739211,0.016423,0.627,3.9919991602254656
32,1.739211,0.01546,0.5874,3.400298,,6037.0,-1.739025,0.016906,0.6454,3.998498220438216
33,1.739025,0.015943,0.6057,3.400918,,6038.0,-1.739025,0.017389,0.6639,4.128083109707282
34,1.739025,0.016426,0.6241,3.402778,,6039.0,-1.739025,0.017872,0.6823,4.0846122742555275
35,1.739211,0.016909,0.6424,3.405258,,6040.0,-1.739025,0.018355,0.7007,4.164558112716703
36,1.739211,0.017392,0.6608,3.406498,,6041.0,-1.739025,0.018838,0.7192,4.101039494818178
37,1.739211,0.017875,0.6791,3.409288,,6042.0,-1.739025,0.019321,0.7376,3.8029802818746554
38,1.739211,0.018358,0.6975,3.409908,,6043.0,-1.738839,0.019804,0.7561,4.194753781757236
39,1.739211,0.018841,0.7158,3.410218,,6044.0,-1.738839,0.020287,0.7745,4.002554128075233
40,1.739211,0.019324,0.7342,3.414248,,6045.0,-1.738839,0.02077,0.7929,3.792113464059887
41,1.739211,0.019807,0.7526,3.415799,,6046.0,-1.738839,0.021253,0.8114,4.132078134734815
42,1.739211,0.020291,0.7709,3.419829,,6047.0,-1.738839,0.021736,0.8298,4.074805294470715
